,0,1
0,,Mean for 72 g (serving size)
1,Total energy (kcal),393
2,Lipids(g),26
3,Linoleic acid (g),3.9
4,-Linoleic acid (g),1.3
5,Proteins (g),14.5
6,Carbohydrates (g),23.3
7,Calcium (mg),500
8,Copper (mg),1.3
9,Phosphorus(mg),418
10,Iodine(g),250
11,Iron (mg),22
12,Selenium (g),65
13,Manganese (mg),2.1
14,Magnesium (mg),73
15,Potassium (mg),562
16,Zinc(mg),15
17,Vitamin A (g RE)b,770
18,Thiamin (mg),1.4
19,Riboflavin (mg),1.4
20,Niacin (mg),15
21,Vitamin B5 (mg),7
22,Vitamin B6(mg),1.9
23,Folic acid(g),400
24,Vitamin B12(mg),2.6
25,Vitamin C (mg),100
26,Vitamin D(ug cholecalciferol),15
27,Vitamin E (mg -tocopherold,18
28,Vitamin K (g),72
