,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,,,%8,,,,,,,,,%8,,,,,,,,,,,,,,,%9,,
1,,,,,,,,,,,,,,,,,9111,,,81)40,,,,,,,,,,(10110)10
2,,,pIIV,,,%),,(%6z),,,VIVN (%L6) OOES,(%,,,,ONId,SE%ESD,%N%8,(%Z)VIVW,SN%SSD,%N%9,%+)VIVW,,%0,,OOS %IZ) ONID,(%8D),,,pIIV
3,,,,,,,ORUMP,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,DHO,,DHO,,PHO,PHO,DHO,,,DHO,DHO,,,,,,,,DHO,,DHO,,,,,
5,,,89,,,,,,18-05,-,,,,,-70,,,,,,,,22,,,,,,86-09,ZI%S9)
6,,SeX,,,,,,,,%6,L,,,,,,,,,,,,%9+,, 99t'90I,,,,%0,ZI%S9)
7,,N,1004,,,,,,969,1175,,,,0681,155,,100,,,,,,178,, 99t'90I,,,,620,550
8,reer,,,,1694,,sn,,sN I66I-986I,,sn,,,2001,,,,,,,,,,,,,,,,
9,,,,,,[91],,,,,[6II] u[lt[ tp,,,,[i]t,,,,,,,,,,,,,,,
