,0,1,2,3,4,5,6,7,8,9,10,11
0,Components,Score,Total,,Gender,,,,Age groups(yrs,Age groups(yrs,,
1,,range,"n=16,006",Men,,Women,19-29,30-39,40-49,50-59,60-69,70+
2,,,,"n=6,688","n=9,318","n=9,318","n=1,890","n=2,583","n=2,848","n=3,063)","n=2,749","n=2,873"
3,Total score,0-100,63.200.17,61.680.21,64.690.20*,64.690.20*,57.430.39a61.050.33b,57.430.39a61.050.33b,64.310.2866.150.2867.760.32f64.550.30,64.310.2866.150.2867.760.32f64.550.30,64.310.2866.150.2867.760.32f64.550.30,64.310.2866.150.2867.760.32f64.550.30
4,Have breakfast,0-10,7.34 0.05,7.210.07,7.470.06*,7.470.06*,5.390.12a,5.830.10b,7.430.08c,8.260.08,9.210.06,9.540.05
5,Mixed grains intake,0-5,2.29  0.03,2.24  0.04,2.33  0.03*,2.33  0.03*,1.740.06a,1.840.05b,2.320.05c,2.590.05e,3.050.06f,2.570.06
6,Total fruits intake,0-5,2.230.03,1.790.03,2.650.03*,2.650.03*,1.610.06,2.010.05b,2.310.05,2.550.05e,2.720.06f,2.390.06
7,resh fruits intake,0-5,2.42  0.03,2.000.04,2.83 0.04*,2.83 0.04*,1.730.06a,2.22 0.06b,2.530.05,2.790.06e2.900.06f,2.790.06e2.900.06f,2.550.06
8,otal vegetables intake,0-5,3.600.02,3.860.02*,3.350.02,3.350.02,,,,,,3.470.04
9,/egetables intake excluding,0-5,3.34  0.02,3.50  0.02*,3.190.02,3.190.02,,2.830.053.350.043.500.033.580.033.590.04f,2.830.053.350.043.500.033.580.033.590.04f,2.830.053.350.043.500.033.580.033.590.04f,2.830.053.350.043.500.033.580.033.590.04f,3.190.04
10,imchi and pickled,,,,,,,,,,,
11,egetables intake,,,,,,,,,,,
12,"Meat,fish,eggs and beans",0-10,6.990.03,7.300.05*6.680.04,7.300.05*6.680.04,7.300.05*6.680.04,,,,,,7.340.087.520.077.210.076.780.076.540.08b5.880.08
13,ntake,,,,,,,,,,,
14,Milk and milk products intake,0-10,3.20  0.05,2.97  0.07,3.43  0.06*,3.43  0.06*,4.04  0.13f,3.610.11,3.060.09d2.930.10b2.930.11c,3.060.09d2.930.10b2.930.11c,3.060.09d2.930.10b2.930.11c,2.09 0.09
15,Percentage of energy from,0-10,8.050.04,7.920.05,8.180.05*,8.180.05*,6.320.11,7.340.10b,8.100.078.850.069.180.069.530.04,8.100.078.850.069.180.069.530.04,8.100.078.850.069.180.069.530.04,8.100.078.850.069.180.069.530.04
16,aturated fatty acid,,,,,,,,,,,
17,Sodium intake,0-10,5.970.04,4.880.05,7.040.04*,7.040.04*,,,,,,5.900.095.280.085.470.08b5.950.086.560.087.700.07
18,Percentage of energy from,0-10,9.030.03,9.030.04,9.030.03,9.030.03,,,,,,8.430.098.850.069.030.059.290.059.460.049.430.04
19,Sweets and beverages,,,,,,,,,,,
20,Percentage of energy from,0-5,2.410.02,2.530.03*,2.280.03,2.280.03,,,,,,2.780.052.870.05f2.700.042.280.051.820.051.220.04
21,carbohydrate,,,,,,,,,,,
22,Percentage of energy from fat,0-5,3.260.02,3.360.03*,3.160.03,3.160.03,3.490.05d,,,,,3.750.04f3.630.043.220.052.660.051.960.05
23,Energy Intake,0-5,3.08  0.02,3.10  0.03*,3.070.03,3.070.03,2.86 0.06a,2.97 0.05b,3.210.05d,3.210.05e,3.250.05f,3.020.05
