,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Study,Study details,,,,,Participant details,Participant details,,,,,,Outcomes,,
1,Author:,Study,Probiotic,Duration,Conc.of,Outcome,Model,ProbioticPlacebo,ProbioticPlacebo,Mean age,Sex ratio,BMI,Ethnicity,Effect,Compli-,Level of
2,,design,,of Tx,probiotic,measures,,,,,M:F,,,,cations,Evidence
3,,,,(weeks),(CFU/,,,,,,,,,,,
4,,,,,day),,,,,,,,,,,
5,Bernier,RCT,B.breve,16,2x1010,"RBANS,",Elders,40,40,61.3 7.7,19:21,21.02.1,Japanese,Analysis,/,1I
6,et al.,(Sec-,Al,,,"JMCIS,",with,,,,,,,of same,,
7,[42],ondary,,,,Biomark-,mem-,,,,,,,patients,,
8,,study),,,,ers,ory,,,,,,,from Xiao,,
9,,,,,,,com-,,,,,,,HbA1c,,
10,,,,,,,plaints,,,,,,,HbA1c,,
11,,,,,,,,,,,,,,serum,,
12,,,,,,,,,,,,,,concentra-,,
13,,,,,,,,,,,,,,tions were,,
14,,,,,,,,,,,,,,decreased,,
15,,,,,,,,,,,,,,and is.,,
16,,,,,,,,,,,,,,inversely,,
17,,,,,,,,,,,,,,correlated,,
18,,,,,,,,,,,,,,with,,
19,,,,,,,,,,,,,,RBANS,,
20,,,,,,,,,,,,,,total score,,
21,Hwang,RCT,DW2009,12,1.0 1010,Comput-,Elders,50,50,68.05.12,2:3,24.7 3.16,Korean,Participants,None,1I
22,et al.,,(L.,,,erized,with,,,,,,,performed,,
23,[43],,plan-,,,neuro-,MCI,,,,,,,better in,,
24,,,tarum,,,cognitive,,,,,,,,cognitive,,
25,,,"C29,",,,function,,,,,,,,tests after,,
26,,,fer-,,,"tests,",,,,,,,,probiotic,,
27,,,mented,,,Verbal,,,,,,,,supple-,,
28,,,with,,,Learn-,,,,,,,,mentation,,
29,,,soy,,,"ing tests,",,,,,,,,and were,,
30,,,bean,,,digit,,,,,,,,found to,,
31,,,powder),,,"span test,",,,,,,,,have an,,
32,,,,,,Biomark-,,,,,,,,increased,,
33,,,,,,"ers, gut",,,,,,,,serum,,
34,,,,,,micro-,,,,,,,,"BDNF,",,
35,,,,,,biome,,,,,,,,lacto-,,
36,,,,,,analysis,,,,,,,,bacilli,,
37,,,,,,,,,,,,,,population,,
38,,,,,,,,,,,,,,was also,,
39,,,,,,,,,,,,,,increased,,
40,,,,,,,,,,,,,,in probi-,,
41,,,,,,,,,,,,,,otic group,,
