,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,,,tlnte,,,,,,+,,,,,,,,+,+,,,,,,,,,
1,,,,,3,88,,,,,,,40,40,,,,,,,47,,55,,,,
2,,,,M9,20X,,,,,,Yees,,,,,10m,10m,pd,,12V,20V,,,2M,8,,
3,,,,,,,",",,,,+,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,:,,,,,,,
5,,sppppe,,,+,2,,,,,,,,,,2,22,,,,3,,,,7.7,,
6,,,,45,2,u,,,,,80,,,yu,ru,yru,ru,,,,22,,aru,,ru,Tru,Tru
7,,,,,86,,,,,,8,,,5,,90,,,,,,,,,,,
8,A6e,,,,,3,,,,,,,,,,,,,,,,,,,,,
9,,,,W,,F,,,,,W.,,,F,F,F,W,,18F,,,,,,,,
10,,ON,,,2,,,,,,,,2,3,,1,2,3,,,,,,,,,
11,,,,,,,,1886,,1898,,1896,,,,,,,,,,1887,,,,Sseeeeees,1897
12,,,,,,,,,,,,,,,,,4,2,,,,,,,,4,
