,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,(T/foWu) INI,,,,,,,qS'II,,,,11'11,011,,,,,
1,(I/u)NI,,,,,,,,,,,0'9,,,,,,
2,,,,,LC-S,,,LS-S,,,SW-DS,,TI-IA,,,,LS-IS,LW-IS
3,,,,,,,,,,,,Stern,,,,,,
4,,S-S,,OON,OON,Cohoht,,OON,PPC,PPC,,C-5,3,S-S,3,C-5,OON,HOC
5,A8e,,37111,,,,,,,,,,20-20,09-00,,,2950,
6,SeX,W,,H,H,,,H,,,,%19,,,,,%,
7,Z,,,,8,,,,,,,,,,,,,
8,Couory,U,,UR,,,,,,,,,,fpapm,,Chiha,,
9,,,,,,,,6661-9661,,166I-7661,1661-1861,,,,,,,
10,,[10] u01.10,,,,,,[I8]X,,,,,[8[].1U.101,,[L8] 01.10,[58] u01.10,[+8],[6t[]o]
