,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,,,Prevalence,Prevalence,,,,,,,,,
1,,High and,High and,,,,,,,,,,,
2,,medium diet,medium diet,medium diet,,Low diet,,,,,,,,
3,,,qualityt,,,quality,,Crude model,Crude model,,,Multivariate models,Multivariate models,
4,Childcare hours,n,,%,n,%,OR,,95 % CI,,OR,,95% CI,
5,Children aged 1.5-2years old,,,,,,,,,,,,,
6,Short(<8 h/d),42,57.5,57.5,31,42.5,1.50,0.86,,2.62,1.79,0.96,,3.32
7,Medium (8-10h/d),124,67.0,67.0,61,33.0,1.00,Ref,,,1.00,Ref,,
8,Long (10 h/d),48,66.7,66.7,24,33.3,1.02,0.57,,1.81,0.98,0.53,,1.84
9,Children aged 3-4years old,,,,,,,,,,,,,
10,Short(<8h/d,33,78.6,78.6,9,21.4,0.64,0.28,,1.50,0.63,0.25,,1.59
11,Medium(8-10h/d,73,70.2,70.2,31,29.8,1.00,Ref,,,1.00,Ref,,
12,Long (10 h/d),20,66.7,66.7,10,33.3,1.18,0.49,,3.80,1.19,0.40,,3.58
13,Children aged 5-6years old,,,,,,,,,,,,,
14,Short(<8h/d),21,75.0,75.0,7,25.0,0.93,"0.35,2.46","0.35,2.46",,0.72,0.23,,2.22
15,Medium (8-10 h/d),70,73.7,73.7,25,26.3,1.00,Ref,,,1.00,Ref,,
16,Long (10 h/d),16,41.0,41.0,23,59.0,4.02,"1.84,8.82","1.84,8.82",,4.81,1.96,11.8,11.8
