,0,1,2,3,4,5,6,7,8,9
0,,Food-secure,Marginally food,Moderately food,Moderately food,Severely food,,,,
1,,Food-secure,insecure,insecure,,insecure,,P-valuet,P-value,Prendt
2,,SEM,SEM,Mean*,SEM,Mean*,SEM,(model 1),(model 2),(model 2)
3,Protein (% energy),,,,,,,0.039,,
4,"Younger children, 1-8 years",0.16,0.44,15.0a,0.39,15.2a,0.56,0.039,0.338,0.493
5,"Older children, 9-18 years",0.18,0.50,15.5a,0.69,13.8b,0.71,0.001,0.027,0.010
6,"Women, 19-64 years",0.17,0.81,17.3a,0.69,16.5a,0.71,0.689,0.786,0.407
7,Fat (% energy),0.17,0.57,16.1b,0.61,"16.6a,b",0.88,0.011,0.015,0-167
8,"Younger children, 1-8 years",0.25,1.03,31.ga,0.97,31.9a,0.97,0.502,0.279,0.073
9,"Older children, 9-18 years",0.24,1.11,31.5a,0.86,33.1a,1.20,0.502,0.297,0.268
10,"Women, 1964 years",0.31,1.05,32.ga,1.18,31.0a,1.53,0.787,0.772,0.607
11,"Men,19-64 years",0.29,1.68,32.1a,1.18,32.4a,1.53,0.787,0.772,0.607
12,Carbohydrates (% energy),,,,1.17,,1.53,0.787,0.772,0.607
13,"Younger children, 1-8 years",0.35,1.18,54.3a,1.17,53.6a,1.30,0.608,0.567,0.247
14,"Older children,9-18 years",0-31,1.16,54.2a,0.88,54.3a,1.39,0.804,0.965,0.789
15,"Women, 19-64 years",0.36,1.34,50.0a,1.35,51.8a,1.93,0.312,0.681,0.319
16,Sugar (% energy),0.35,1.97,48.5a,1.23,49.3a,2.01,0.555,0.960,0.646
17,"Younger children, 1-8 years",0.30,24.9a,24.6a,1.01,25.8a,1.33,0.700,0.443,0.704
18,"Older children,9-18 years",0.27,1.30,22.8a,0.79,23.7a,1.46,0.955,0.482,0.163
19,"Women, 19-64 years",0.29,0.92,21-1a,1.26,22.0a,1.78,0.097,0.171,0.062
20,"Men,19-64 years",0.25,1.33,19.5a,1.26,19.4a,1.78,0.269,0.171,0.285
21,Fibre (g/1000 kcal),,,,,,,,,
22,"Younger children, 1-8 years",0.14,0.49,8.0a,0.37,8.8a,0.42,0.063,0.382,0.112
23,"Older children, 9-18 years",0.09,0.09,8.2a,0.56,7.7a,0.39,0.211,0.323,0.112
24,"Men, 19-64 years",0.16,0.49,"9.2a,b",0.43,8.0b,0.51,<0.001,0.002,0.001
25,"Men, 19-64 years",0.13,0.63,8.1a,0.44,7.7a,0.53,0.055,0.245,0.130
26,"Younger children, 1-8 years",0.14,0.71,11.ga,0.44,12.0a,0.69,0.987,0.947,0.669
27,"Older children, 9-18 years",0-11,0.48,10.ga,0.39,10-7a,0.50,0.602,0.974,0.901
28,"Women, 1964 years",0.13,0.44,10.7a,0.39,9.6a,0.56,0.332,0.413,0.201
29,"Men,19-64 years",0-11,0.82,10-6a,0.48,9.8a,0.56,0.429,0.413,0.182
30,Na (mg/1000 kcal),,,,,,0.56,,,
31,"Younger children, 1-8 years",14.54,73.33,1403.1a.b,44.72,1522.7b,106.96,0.572,0.591,0.018
32,"Older children,9-18 years",13.88,50.42,1434.2a,44.72,1479.5a,74.59,0.591,0.591,0.951
33,"Men, 19-64 years",18.75,147-37,1458.5a,63-31,1403.3a,180.79,0.765,0.740,0.802
