,0,1,2,3,4,5,6
0,,,,"Women (n = 12,923)","Women (n = 12,923)",,
1,,,Low Perceived Stress,,,High Perceived Stress,
2,,,(PSS-10 Score <Sex-Specific Mean),,,(PSS-10 Score  Sex-Specific Mean),
3,,T1,T2,T3,T1,T2,T3
4,,n = 3216,n=3216,n=3216,n=2759,n=2758,n =2758
5,mg/day^,62.4  37.3,186.9  35.7,388.3135.1,62.2  36.2,185.8  36.0,389.0144.6
6,(% (n) high) ^,24.6 (790),23.6 (759),25.0 (805),20.8 (574),22.6 (623),23.4 (646)
7,Model S3,1 (ref.),0.96 (0.861.08),1.05 (0.93-1.18),1 (ref.),1.14 (0.99-1.30),1.17 (1.021.34)
8,,,,Men (n = 6274),Men (n = 6274),,
9,,,Low Perceived Stress,,,High Perceived Stress,
10,,,(PSS-10 Score<Sex-Specific Mean),,,(PSS-10 Score Sex-Specific Mean),
11,,T1,T2,T3,T1,T2,T3
12,,n=1114,n=1113,n=1113,n=978,n =978,n=978
13,mg/day^,78.7  48.8,221.2  37.2,435.8  155.5,73.0  46.4,215.9  39.9,437.9  160.5
14,% (n) high)^,23.9 (267),24.8 (276),23.9 (266),24.3 (238),25.2 (246),24.3 (238)
15,Model S3,1 (ref.),1.09 (0.891.33),1.02 (0.831.24),1 (ref.),1.17 (0.95-1.45),1.04 (0.841.30)
