,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,,,,,,HEI-2015*,HEI-2015*,,,,,,,,,,NRF9.3,NRF9.3,,,,,
1,,,Total diet,Total diet,Breakfast,Breakfast,Lunch,,Dinner,Dinner,Snacks,,Total diet,,Breakfast,Breakfast,,Lunch,,,Dinner,,Snacks,Snacks
2,,n,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,Mean,SD,Mean,Mean,SD,Mean,SD
3,Male,,,,,,,,53.0,,,,678,,,,,,,,,,,
4,Female,318,51.7,7.3,44.0,12.1,48.2,9.2,53.0,8.3,33.5,16.3,678,104,563,230,597,,151,667,,111,93,438
5,Female,321,52.5,7.4,46.1,12.8,49.6,8.7,53.0,7.6,34.9,14.1,657,107,549,220,598,,147,662,,110,103,321
6,Pt,,0-21,,0.04,,0.0497,,0.96,,0.23,,0.01,,0.46,,0.92,0.92,,0.62,0.62,,0.75,
7,Age group (years),,,,,,46.3a,,,,,,,,,,,,,,,117,,
8,<40,205,48.2a,6.5,40.4a,12.2,46.3a,9.3,49.7a,7.5,30.7a,14.5,615a,114,474a,259,569a,,150,622a,,117,5a,410
9,40-59,279,52.5b,6.6,45.2b,11.2,48.gb,8.8,53.5b,7.7,35.2b,15.0,675b,92,558b,211,600ab,600ab,152,671b,671b,103,130b,351
10,60,155,56.6c,6.9,50.9c,12.7,52.4c,7.9,56.6c,7.4,37.0b,15.8,723c,84,661c,141,632b,,152,709c,,92,163b,351
11,PS,,<0.0001,<0.0001,<0.0001,<0.0001,<0.0001,,<0.0001,<0.0001,0.0001,,<0.0001,,<0.0001,<0.0001,0.0003,0.0003,,,<0.0001,,<0.0001,<0.0001
12,Weight statusll,,,,,,,,,,,,,,,,,,,,,,,
13,Underweight,35,50.5,6.2,45.0,11.1,47.3,8.2,52.0,7.6,35.1,13.3,633,117,549,234,582,,130,627a,627a,111,79,344
14,Normal weight,445,52.1,7.2,45.0,12.8,48.8,9.0,52.9,7.9,33.9,15.1,671,101,552,233,599,,150,670a,,110,97,370
15,Overweight,159,52.5,7.9,45.2,12.0,49.5,9.3,53.6,8.2,34.9,16.0,664,116,569,198,598,,152,656a,,110,103,427
16,PS,,0.33,,0.98,,0.40,,0.44,,0.73,,0.10,,0.71,,0.80,0.80,152,0.047,0.047,,0.95,427
17,Dietary reporting status,,,,,,,,,,,,,,,,,,,,,,,529
18,Underreporting,20,46.ga,9.4,36.ga,16.4,41.1a,16.9,48.2a,9.6,24.7a,15.5,605a,150,463,215,503a,,236,585a,,171,-99a,529
19,Plausible reporting,604,52.2b,7.2,45.2b,12.3,49.1b,8.5,53.1b,7.9,34.5b,15.0,671b,102,560,225,601b,,145,669b,,106,106a,371
20,Overreporting,15,54.9b,7.9,47.5b,12.0,49.4b,9.9,55.7b,8.5,36.4ab,19.0,615ab,159,521,221,589ab,589ab,156,597a,,132,25a,566
21,PS,,0.002,,0.01,,0.0004,,0.01,,0.02,,0.004,,0.14,,0.01,0.01,,0.0002,0.0002,,0.047,
22,Survey year,,,,,,,8.5,,,,,,,,,,,,,,,,
23,2003,250,53.6,6.9,47.0,11.9,49.9,8.5,54.9,8.1,35.7,14.9,689,96,586,225,601,,147,684,,97,136,326
24,2013,389,51-2,7.5,43.8,12.7,48.3,9.3,51.8,7.7,33.2,15.3,653,110,537,223,595,,151,652,,116,73,414
25,Pt,,<0.0001,,0.001,,0.03,,<0.0001,,0.04,,<0.0001,,0.006,,0.62,0.62,,0.0003,0.0003,,0.04,
