,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,ZJ,LS,WN,SD,HC,HZ,NN,JY,LD,SG,SZ,HY,ZP,LP,MZ,GZ,SX,ND
1,ZJ,0.000,,,,,,,,,,,,,,,,,
2,LS,0.019,0.000,,,,,,,,,,,,,,,,
3,WN,0.130,0.073,0.000,,,,,,,,,,,,,,,
4,SD,0.142,0.116,0.242,0.000,,,,,,,,,,,,,,
5,HC,0.104,0.090,0.194,0.041,0.000,,,,,,,,,,,,,
6,HZ,0.087,0.040,0.168,0.081,0.037,0.000,,,,,,,,,,,,
7,NN,0.064,0.077,0.144,0.089,0.038,0.097,0.000,,,,,,,,,,,
8,JY,0.176,0.075,0.120,0.115,0.086,0.049,0.093,0.000,,,,,,,,,,
9,LD,0.163,0.056,0.095,0.111,0.117,0.108,0.117,0.027,0.000,,,,,,,,,
10,SG,0.113,0.042,0.119,0.070,0.059,0.025,0.090,0.021,0.018,0.000,,,,,,,,
11,SZ,0.108,0.057,0.153,0.087,0.089,0.026,0.096,0.036,0.072,0.003,0.000,,,,,,,
12,HY,0.122,0.076,0.128,0.079,0.080,0.054,0.108,0.044,0.052,-0.004,0.011,0.000,,,,,,
13,ZP,0.051,0.062,0.180,0.097,0.090,0.071,0.115,0.130,0.119,0.062,0.102,0.092,0.000,,,,,
14,LP,0.141,0.123,0.223,0.068,0.073,0.106,0.135,0.089,0.092,0.082,0.086,0.076,0.084,0.000,,,,
15,MZ,0.269,0.290,0.434,0.182,0.203,0.281,0.298,0.295,0.279,0.264,0.211,0.269,0.222,0.142,0.000,,,
16,GZ,0.294,0.268,0.325,0.130,0.121,0.195,0.172,0.161,0.212,0.200,0.224,0.178,0.191,0.057,0.194,0.000,,
17,SX,0.375,0.306,0.373,0.151,0.159,0.248,0.212,0.207,0.228,0.220,0.257,0.225,0.264,0.122,0.275,0.030,0.000,
18,ND,0.359,0.346,0.425,0.143,0.242,0.259,0.273,0.272,0.305,0.258,0.236,0.231,0.250,0.129,0.189,0.064,0.064,0.000
