,0,1,2,3,4,5,6,7,8,9
0,,,All (n=3726),,,Women(n=1906,,,Menn=1820,
1,,Robust,Pre-frail/frail,,Robust,Pre-frail/frail,,Robust,Pre-frail/frail,
2,,Mean(95% CI,Mean (95% CI),P*,Mean 95% CI,Mean (95% CI,P*,Mean95% CI,Mean (95% CI,p*
3,"Tromso4,n=3089",2220,869,,1113,457,,1107,412,
4,"Energy,MJ",7.96(7.88;8.05),7.70 (7.57;7.84),0.002,6.82 (6.73;6.91),6.57 (6.44;6.70),0.004,9.11 (9.00;9.22),8.96(8.78;9.13),0.15
5,"Protein,g",78.3 (77.5;79.1),76.6 (75.2;77.9),0.03,67.6 (66.7;68.4),65.2 (64.0;66.4),0.003,89.1 (88.1;90.2),89.1 (87.4;90.9),0.99
6,"Protein, g/MJ",9.95 (9.90;10.0),10.0 (9.95;10.1),0.09,10.0 (9.95;10.1),10.0(9.91;10.2),0.96,9.87 (9.79;9.94),10.0 (9.91;10.2),0.02
7,E%,16.6(16.6;16.7),16.8 (16.6;16.9),0.09,16.8 (16.6;16.9),16.8 (16.6;17.0),0.96,16.5 (16.4;16.6),16.8 (16.6;17.0),0.02
8,"Protein,g/kg BW",1.08(1.07;1.09),1.03(1.01;1.05,<0.001,1.04(1.02;1.05),0.97(0.95;1.00,<0.001,1.12(1.10;1.14,1.10 (1.07;1.12),0.11
9,"Tromso7,n=2507",1834,673,,893,359,,941,314,
10,"Energy,MJ",9.20 (9.07;9.33),8.70 (8.50;8.91),<0.001,8.50 (8.33;8.67),8.01(7.78;8.32),0.005,9.86 (9.68;10.0),9.45 (9.15;9.75),0.03
11,"Protein,g",95.6 (94.2;97.0),90.3 (88.0;92.5),<0.001,89.7 (87.8;91.6),83.7 (89.7;86.8),0.001,101 (99.3;103),97.7 (94.5;101),0.08
12,"Protein, g/MJ",10.5(10.410.5),10.4 (10.3;10.5),0.66,10.6(10.5;10.7),10.4 (10.3;10.6),0.09,10.3(10.2;10.4,10.4(10.3;10.6),0.35
13,E%,17.5(17.4;17.6),17.5 (17.2;17.6),0.66,17.7 (17.5;17.9),17.4 (17.2;17.7),0.09,17.3 (17.1;17.4),17.4 (17.1;17.7),0.35
14,"Protein, g/kg BW",1.27 (1.25;1.29),1.17(1.14;1.20),0.001,1.31(1.28;1.34),1.17(1.12;1.22),<0.001,1.22 (1.20;1.25),1.17 (1.23;1.21),0.04
15,,,,Participants in tracking analysis (n=1908,Participants in tracking analysis (n=1908,,,,,
16,Tromso4,1401,507,,680,259,,721,248,
17,"Energy,MJ",8.01 (7.90;8.11),7.78 (7.61;7.95),0.03,6.85 (6.73;6.97),6.68 (6.51;6.86),0.13,9.09 (8.97;9.22),8.92(8.71;9.14),0.19
18,"Protein,g",78.5 (77.5;79.5),77.3(75.6;78.9),0.21,67.6 (66.6;68.7),66.3 (64.6;68.0),0.19,88.8 (87.5;90.0),88.7(86.6;90.9),0.99
19,Proteing/MJ,9.91 (9.85;9.98),10.0 (9.91;10.2),0.08,9.99 (9.89;10.1),10.0 (9.87;10.2),0.70,9.84 (9.75;9.93),10.0(9.86;10.2),0.04
20,E%,16.6 (16.5;16.7),16.8 (16.6;17.0),0.08,16.7 (16.6;16.9),16.8 (16.5;17.1),0.70,16.5 (16.3;16.6),16.8 (16.5;17.1),0.04
21,"Protein, g/kg BW",1.09(1.07;1.10),1.03(1.08;1.05,<0.001,1.05(1.02;1.07),0.98 (0.94;1.01),<0.001,1.12(1.10;1.14),1.09 (1.06;1.12),0.14
22,Tromso7,1401,507,,680,259,,721,248,
23,"Energy,MJ",9.23 (9.09;9.38),8.77(8.53;9.01),0.001,8.61 (8.42;8.80),8.05 (7.76;8.36),0.003,9.82 (9.62;10.0),9.52 (9.18;9.86),0.14
24,"Protein,g",95.5 (93.9;97.0),90.9 (88.3;93.5),0.003,90.5 (88.4;92.7),83.8 (80.3;87.3),0.002,100(98.0;102,98.3 (94.7;102),0.41
25,Proteing/MJ,10.4(10.3;10.5),10.4(10.3;10.6),0.65,10.5(10.4;10.7),10.4 (10.3;10.6),0.32,10.3 (10.2;10.4),10.4(10.2;10.6),0.12
26,E%,17.4(17.3;17.5),17.4 (17.2;17.7),0.65,17.6(17.5;17.8),17.5(17.1;17.8),0.32,17.2(17.0;17.3),17.4(17.1;17.8),0.12
27,Proteing/kg BW,1.27 (1.25;1.29),1.16(1.13;1.20),<0.001,1.33(1.30;1.36),1.15(1.10;1.21),<0.001,1.21 (1.19;1.24,1.17(1.12;1.22),0.12
