,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,Baseline,,,,,,4weeks,,,,,,8weeks,8weeks,,,,,,12 weeks,12 weeks,,
1,,,Placebo,Intervention,Intervention,,Placebo,Placebo,,Intervention,Intervention,,Placebo,Placebo,,Intervention,Intervention,Intervention,,Placebo,Placebo,,Intervention,Intervention,Intervention,
2,Parameter,Criteria,group,group,,P value,,group,,group,,P value,,group,,,group,,P value,,group,,,group,,P value
3,,,n=96,n=98),,P value,n=96,n=96,,n=98,,P value,,n=95,,n=97,n=97,,P value,n=95,n=95,,n=95,n=95,n=95,P value
4,,,Outside,Inside,Outside,,Inside,Outside,Outside,Inside,Outside,,Inside,Outside,Outside,Inside,Outside,Outside,,Inside,Outside,Outside,Inside,Outside,Outside,
5,Protein,,2, 86,12,0.010*,89,,7,89,9,0.795,88,,7,89,,8,1.000,88,,7,88,,7,1.000
6,Sugar,,0,97,1,1.000, 96,,0,97,1,1.000,94,94,1,96,,1,1.000,93,,2,94,,1,1.000
7,Urobilinogen,(),0,97,,1.000,96,,0,98,0,N.A.,95,,0,97,,0,N.A., 95,,0,94,,1,1.000
8,Bilirubin,,0,98,0,N.A.,96,96,0,98,0,N.A.,95,,0,97,,0,N.A.,95,,0,95,,0,N.A.
9,pH,5.07.5,1,96,2,1.000,95,,1,96,2,1.000,92,,3,96,,1,0.366,94,,1,94,,1,1.000
10,Hidden blood,,6,91,7,1.000,90,,6,89,9,0.593,88,,7,89,,8,1.000,88,,7,82,,13,0.237
11,Ketone body,-,0,97,1,1.000,95,,1,97,1,1.000,92,,3,96,,1,0.366,93,,2,93,,2,1.000
