,0,1,2
0,Physiological changes,Control,MeJA(5 uM
1,PAL (U mg-1 FW),83.555.66,112.88.77*
2,POD(U g-min-FW),205.611.56,334.720.56
3,Chitinase (U g- min- FW),8.50.8,13.51.6*
4,"3-1,3-Glucanase(U g-FW)",3.80.6,5.2 0.4*
5,Cellulase content (%,1.560.33,1.050.27*
6,Flavonoid (g g- FW),1.880.35,2.56 0.21*
7,Pectin content(%,0.280.08,0.390.06*
8,Total soluble solid (%,7.90.21,8.9 0.16*
9,Gallic acid (g g-1 FW),17.30.89,20.60.68*
10,Caffeic acid (g g-1 FW),8.330.88,8.561.01
11,Protocatechuic acid (g g- FW),10.210.87,9.95  0.96
12,Syringic acid (g g- FW),1.880.11,1.920.21
13,p-Coumaric acid (g g- FW),5.880.88,5.65.069
14,Total phenol (g g- FW),145.66.65,188.99.56*
15,PPO (U g-1 FW),2.33 0.23,3.580.43*
