,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Variable,Control,,,1.535% BCAA,1.535% BCAA,,3.07% BCAA,3.07% BCAA,,Pooled,P-value,,
1,,d3,d 15,d 29,d 3,d15,d 29,d3,d15,d 29,SEM,Treatment,Day,TxD1
2,Ala,235,511,635,279,597,730,301,609,663,50,0.025,<0.01,0.682
3,Arg,36,64,72,52,73,91,54,87,109,6.7,<0.01,<0.01,0.220
4,Asn,29,108,227,46,132,259,51,141,267,11,<0.01,<0.01,0.829
5,Asp,158,462,480,192,526,593,313,546,639,30,<0.01,<0.01,0.075
6,3-Ala,15,30,41,15,30,45,15,28,41,2.6,0.534,<0.01,0.634
7,Cit,6.8,38,46,18,49,68,31,59,78,4.7,<0.01,<0.01,0.302
8,Cys2,116,192,362,120,199,358,123,204,370,19,0.706,<0.01,0.994
9,Gln,326,1060,3517,439,1170,4025,472,1210,4196,112,<0.01,<0.01,0.024
10,Glu,366,1010,991,419,1140,1070,447,1200,1190,43,<0.01,<0.01,0.261
11,Gly,294,812,1180,307,830,1240,358,843,1300,57,0.096,<0.01,0.844
12,His,787,682,436,769,689,465,824,688,486,35,0.269,<0.01,0.737
13,lle,5.2,17,21,14,31,38,29,43,52,3.7,<0.01,<0.01,0.546
14,Leu,23,43,51,52,77,93,64,85,103,8.1,<0.01,<0.01,0.772
15,Lys,32,52,68,35,66,86,50,66,85,4.5,<0.01,<0.01,0.063
16,Met,2.9,20,23,4.2,21,28,4.2,22,28,2.2,0.059,<0.01,0.448
17,Orn,29,45,64,30.,48,67,30,52,58,3.9,0.548,<0.01,0.178
18,Phe,20,35,38,25,36,39,27,38,40,2.8,0.040,<0.01,0.776
19,Pro,34,82,114,46,115,147,49,123,168,12,<0.01,<0.01,0.195
20,Ser,45,221,403,51,231,474,63,238,381,18,0.012,<0.01,0.001
21,Tau,1020,1280,1410,1110,1290,1430,1230,1290,1490,99,0.212,<0.01,0.722
22,Thr,86,133,426,89,140,437,85,145,420,23,0.862,<0.01,0.962
23,Trp,3.6,11,17,5.3,12,21,5.7,12,19,1.1,0.012,<0.01,0.378
24,Tyr,35,63,75,42,63,76,49,66,79,5.7,0.114,<0.01,0.690
25,Val,54,108,134,96,132,160,149,166,229,13,<0.01,<0.01,0.150
