,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,,,,,81,,,,80,60,,,,+0,,,
1,,,,175,,,100,,370,1'08,,,810,,,91,,
2,,,,,,(02),(L1),9),,(6'0),01,,80,,,,69,
3,,I8I=u,,171,,1111,,188,,,,145,,,214,1II,,
4,,,,(T0,(1.2),(60),(80),(80,,,,(02,,,,0,22),
5,,,,1,,8'261,,88,818,S08,,,,,310,911,,
6,,,,(T0,(12),(I1),(01),(60),,(55),(90,(12),,,,T0,(1),
7,Pprre,,,180,,9681,6101,,,17,,145,,,,1II,,
8,,,03,T0),,,TD,01,80,90),10),0,,,,,,
9,,I9t=,,,380,,1044,17,,,,I'97,+'18,6'2E,300,117,3110,217
10,,,,,40),81,(SD),(11),,80,60,+0,,+0,,,19,
11,,9EZ=u,,170,381,,1026,,,,,217,8'18,,310,121,3115,220
12,,,,,,,(8'1),(81),,(01),,+0,60,,,,,
13,,,,,35,,1155,,,180,,E'87,110,,1'87,111,,
14,,,80),+0,(10),,(0),(67),,(91,(81,,(51),60,80),+0,,
15,,SS=u,,,,696,1020,,,81,,,,B31,967,,,1'77
16,,,I0,0,10,,,,,(12,,0,,10,10,T0,(11),
17,,LL6L=u,t'It,,888,,,906,800,,619,I'17,,212,,1II,,115
18,,,10,10,0,,,,0,,,10,,,10,10,91,10
19,,,011,,888,,1044,906,,,2.22,212,928,,,,,
20,,,,,%)oj o.1j .iog,,,,,,,,,,,,,
