,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Cereals and,,,,,,,Parameters,,,,,,
1,millets,Arginine,Tryptophan,Histidine,Phenylalanine,Lysine,Tyrosine,Cystine,Threonine,Valine,Leucine,Isoleucine,Methionine,Glutamic
2,millets,(mg),(g),(g),(g,g,(g,(g),(g),(g),(g),(g),(g),acid (g
3,Kodo millet,3.18 g,1.32,2.14,6.27,1.42,,1.92,3.89,5.49,11.96,4.55,2.69,18.25
4,millet,5.96 g,1.35,2.35,6.14,2.42,,1.85,4.24,5.31,8.08,4.14,2.21,20.22
5,Proso millet,290,50 mg,110 mg,310 mg,190 mg,,,150 mg,410 mg,760 mg,410 mg,160mg,
6,Finger millet,300,100 mg,130 mg,310 mg,140 mg, 220 mg,140 mg,190 mg,480 mg,690 mg,480 mg,180mg,
7,Foxtail millet,220,60 mg,130 mg,420 mg,140 mg,,100 mg,190 mg,430 mg,1040 mg,480 mg,180mg,
8,millet,270,50 mg,120 mg,430 mg,150 mg,,110 mg,200 mg,410 mg,650 mg,360 mg,180 mg,
9,Whole wheat,300,110 mg,140 mg,290 mg,190 mg,200 mg,110 mg,240 mg,330 mg,750 mg,260 mg,150 mg,
10,flour,290,0.99,2.56,5.03,2.42,,2.24,2.58,5.12,6.13,3.78,1.77,29.61
11,milled,480,1.27,2.45,5.36,3.7,,1.84,3.28,6.06,8.09,4.29,2.6,18.92
