,0,1,2,3,4,5,6,7,8,9,10
0,,,"Table Gold Acorn' Familyw,v","Table Gold Acorn' Familyw,v",,"Table King BushFamily""","Table King BushFamily""",,,'Butterbush' Familyt,
1,,,P1,P2,F1,P1,P2,F1,P1,P2,F1
2,L*,Years,<0.0001,0.1995,0.3743,0.7280,<0.0001,0.2218,<0.0001,<0.0001,0.0008
3,,Fruit (Year 1),0.0797,0.0021,0.0003,0.0007,0.001,0.0002,0.0031,0.0026,0.2539
4,,Fruit (Year 2),0.0002,0.0006,0.0002,0.0104,0.0125,0.0135,0.0009,0.001,0.0499
5,,Geno (Year 1),,<0.0001,,,<0.0001,,,<0.0001,
6,,Geno (Year 2),,<0.0001,,,0.1177,,,<0.0001,
7,Chroma,Year,<0.0001,<0.0001,<0.0001,<0.0001,<0.0001,<0.0001,0.1034,0.0089,0.2813
8,,Fruit (Year 1),0.0686,0.003,0.0001,<0.0001,0.0009,<0.0001,0.9583,0.0004,0.0263
9,,Fruit (Year 2),0.0016,<0.0001,0.0002,0.0054,0.0300,0.0022,0.0127,<0.0001,0.2761
10,,Geno (Year 1),,<0.0001,,,<0.0001,,,<0.0001,
11,,Geno (Year 2),,0.0001,,,<0.0001,,,<0.0001,
12,Hue,Year,<0.0001,0.3062,0.2009,0.0623,<0.0001,<0.0001,<0.0001,<0.0001,<0.0001
13,,Fruit (Year 1),0.0468,0.0008,0.0017,<0.0001,0.0002,<0.0001,0.0004,0.0002,0.0014
14,,Fruit (Year 2),<0.0001,<0.0001,<0.0001,0.0005,0.002,0.0001,<0.0001,<0.0001,<0.0001
15,,Geno (Year 1),,<0.0001,,,<0.0001,,,<0.0001,
16,,Geno (Year 2),,<0.0001,,,<0.0001,,,0.0175,
