,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,No,Project,Year,Picking method,Num-,Number,3D,Environment,,Harvest rate,Speed,,Damage rate,Issues,Note
1,,,,,ber,of cam-,imaging,Modi-,Description,,Single,Overall,,to be,
2,,,,,of,eras,tech-,Description,Description,,Single,Overall,,improved,
3,,,,,arms,,niques,fied,,,arm,,,,
4,,Siwal-Apple,2017,Grasp+pull+twist,1,2*,ToF,Fruits,Fruits,84%,6 s/fruit,,6.3% + 26%*,Obstacle,*1 CCD cam-
5,,(Davidson,,,,,,,adjacent,,,,,detec-,era+1 ToF 3D
6,,"et al.,",,,,,,to trellis,to trellis,,,,,tion,camera
7,,2016;,,,,,,,wires and,,,,,Fruit,* Besides 6.3%
8,,Siwal,,,,,,trunks,trunks,,,,,clusters,pericarp
9,,"et al.,",,,,,,were,were,,,,,han-," damage rate,"
10,,2017),,,,,,,removed,,,,,dling,another 26% of
11,,,,,,,,,prior to,,,,,End-, spur damage
12,,,,,,,,,field stud-,,,,,effector,rate is to be
13,,,,,,,,ies,ies,,,,,feed-,noted
14,,,,,,,,,,,,,,back,
15,,,,,,,,,,,,,,Stem,
16,,,,,,,,,,,,,,length,
17,,,,,,,,,,,,,,control,
18,,,,,,,,,,,,,,Light,
19,,,,,,,,,,,,,,vari-,
20,,,,,,,,,,,,,,ation,
21,,,,,,,,,,,,,,han-,
22,,,,,,,,,,,,,,dling,
23,,,,,,,,,,,,,,Wind,
24,,,,,,,,,,,,,,distur-,
25,,,,,,,,,,,,,,bance,
26,,,,,,,,,,,,,,han-,
27,,,,,,,,,,,,,,dling,
