,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,,,,,,,,,,,T*Put,T*Put,CO2,Put *,T*Put
1,Attribute,T,Put,CO2,AL,T*Put,T*CO2,T*AL,Put*CO2,Put*AL,CO*AL,* CO2,*AL,*AL,CO2,*CO2
2,Inositol,***,***,***,***,ns,ns,**,**,ns,***,ns,ns,ns,ns,ns
3,Glucose,***,***,***,***,***,***,ns,ns,ns,***,ns,ns,ns,*,*
4,Fructose,***,***,***,***,***,***,***,***,***,***,**,ns,ns,*,**
5,,,,,,,,,,*,,,,,,
6,Sucrose,***,***,***,***,***,***,***,*,***,***,*,ns,***,*,ns
7,Total,***,***,***,***,ns,ns,ns,**,ns,***,ns,ns,ns,ns,**
8,Sugars,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
9,TPC,***,***,***,***,***,***,***,***,***,***,ns,ns,**,ns,***
10,Putrescine,***,***,***,***,***,***,***,***,***,***,***,***,***,***,**
11,Cadaverine,***,***,***,***,ns,ns,ns,*,ns,***,*,ns,ns,ns,***
12,Spermidine,***,***,***,***,*,ns,ns,**,ns,***,**,***,***,**,***
13,Total PAs,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
14,Total PAs,***,***,***,***,***,ns,***,,***,***,***,ns,***,***,**
