,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,,,,,,%8,,,%0,,%9,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,v(t'O) 6'0,,r(t'0) 9'0,10)90,000000,,,,,qZ'0,,,,,,,,,10-10)10,
2,,,pIIV,,POS (%Zt) ONIO,%DVIVW%I,,,,,pIV,,pIIV,,,,ONId,VIVW (%L8) OOES,(%EI),,SAV%68) OOS,(%+) ONId(%9),%VIVW,,ONId,SNI%0OO,,,%6OS,%69IVIVW
3,,,Prhoor,,,,,URDR,,,,,,,,,,UPPR,,OUUMP,,,,,,,PP,OUUMP,,
4,,,,,,,,,,,DHO,,PHO,PHO,DHO,OHH p(EI)SS,,OHH 0t-8I~,,DHO,DHO,,,DHO,,DHO,,DHO,PHO,
5,,,r(LEL,(9)LL,,,,p(ZI) C9,,,,,,20-00,,OHH p(EI)SS,,OHH 0t-8I~,,,,,,,,,,$9>,,
6,,SeX,W,,,,,,,,,,%19,,,,,,,,,,,,,,,,,
7,,N,127,77T,,,,,,,2200,,1105,,,,,1110,,,261,,,,,,,1500,470,
8,Cououy,,Spnn,,,,,ureds 866I-466I,,,,,Sppnn,SN 000Z-L66I,SN S66I-66I,,,SN S03Z-L66I,,sn,Sn 800Z-b00Z,,,,,sN I00Z-966I,,sN L66I-966I,SN 666I-966I,
9,Yeer,,,,,,,ureds 866I-466I,,,,,6661,SN 000Z-L66I,SN S66I-66I,,,SN S03Z-L66I,,,Sn 800Z-b00Z,,,,,sN I00Z-966I,,sN L66I-966I,SN 666I-966I,
10,,,,,,,,,[101],,,,,,,,,,,,,,,,,,,[t]T,,
