,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,I<)1d,,17,,990,,,012,17,**0-,,,,040,i/4,,,,9,,,,,,,,,,
1,,,,20,,,,,,04-,,220,,,,n/4,,020,,22,,,,I<1,180,,,032,042,810
2,,,,,,,,,,,,100,,480,,m/4,,531,,2.72,,,,,,,,,98'0,
3,,peeeeeed,,12,,,,,,125,,,,,,,,,,,,,,,,,,,,001
4,,,(bs!UD<),,,v010,,*00,vZ0- 0'L,,***S0-,0000,,,,062,,,***0-,,,,,seeeeed,,,,9'8,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,910
7,,,,,,,,,,,,,,114,,,120,1112,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,88'7,0,,455,0,96I
9,,,Ceeek,,,,,,,,,1002,,,,1444b,1408,,,,,,,,,,,966'0,,
10,8y.8n,,,T666,,,,,,,,,77,,,,,,,,411,,(%) SaL,,966,556,,,,
11,8y.8n,Ceeek,,,,,,,1682,,,,,,,,,,,,,(A,(%) SaL,Ceeer,,,,996,,
12,,,,,,,,,,,,,,,,,,,,,,,,Cree,,,,,,
13,,,,,,,2,,,,,,,,,,0,,,2,,,,,,,,,,
14,,,,,,LCC,LCT,,LCT,LLT,,,,HOC,HCC,HOC,OOC,HOC,,HOH,,,,,,,LCC,LC1,LCC,LCT
