,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,,,Breakfast,Breakfast,,,,,,Lunch,,,,,,Dinner,Dinner,,,
1,,T1 (n213),T1 (n213),T2(n 213),T2(n 213),T3 (n 213),T3 (n 213),,T1(n213),T1(n213),T2 (n 213),T3 (n 213),T3 (n 213),,T1 (n213),T1 (n213),T2 (n 213),T2 (n 213),T3 (n 213),T3 (n 213),
2,,Mean,SE,Mean,SE,Mean,SE,Pior trend,Mean,SE,SE,Mean,SE,Pior trend,Mean,SE,Mean,SE,Mean,SE,Pior trend
3,Nutrients,1745,52,1857,50,1913,52,0.03,2714,46,44,2695,47,0.80,3404,68,3640,65,3511,69,0.28
4,Protein (g/d),13.9,0.5,15.6,0.5,17.4,0.5,<0.0001,21.7,0.5,23.2,23.4,0.5,0.01,31-2,0.7,33.7,0.7,34.0,0.7,0.008
5,Total fat (g/d),13.5,0.5,13.0,0.5,13.4,0.5,0.87,19.6,82,0.5,18.8,0.5,0.32,26.5,0.2,27.9,0.8,26.6,0.8,0.04
6,SFA (g/d),4.8,0.2,4.3,0.2,4-3,0.2,0.07,5.4,82,96.8,4.6,0.2,0.001,7.2,0.2,7.4,0.2,6.4,0.2,0.04
7,Carbohydrate (g/d),58.9,1.9,64-9,1.8,66.4,1.9,0.63,92.7,1.7,96.8,91.9,1.7,0.79,98.5,2.0,100.7,1.9,93.2,2.0,0.09
8,Added sugars (g/d),6.6,0.5,5.6,0.5,6-3,0.5,0.56,8.9,0.5,0.5,7.4,0.5,0.40,7.8,1.1,8.5,0.5,7.4,0.5,0.61
9,Alcohol (g/d),0.0,0.0,0.1,0.0,,0.0,0.56,0.3,0.2,4.3,0.6,0.2,0.40,5.9,1.1,9.6,1-1,11.7,1.1,0.0006
10,Dietary fibre (g/d),2.6,0.1,3.1,0.1,,0.1,<0.0001,3.9,0.1,0.1,4.9,0.1,<0.0001,5.0,0.2,6.0,0.2,6.7,0.2,<0.0001
11,K (mg/d),462,20,555,19,756,20,<0.0001,668,19,19,809,20,<0.0001,994,26,1140,,1234,26,<0.0001
12,Ca (mg/d),131.2,7.7,149.3,7.4,81.1,7.7,<0.0001,121.2,4.1,133.6,146.7,4.2,<0.0001,162-6,6.0,194.1,5.8,202.9,6.1,<0.0001
13,Mg (mg/d),52.8,0.1,62.1,0.1,81.1,2.3,<0.0001,72.4,2.0,1.9,89.2,2.0,<0.0001,112.1,0.1,131.2,3.4,139.9,3.5,<0.0001
14,Fe (mg/d),1.4,0.1,1.7,0.1,2.2,0.1,<0.0001,2.3,0.1,2.5,2.7,0.1,<0.0001,3.3,0.1,3.6,0.1,3.8,0.1,<0.0001
15,Vitamin A (g/d),79.9,16.5,123.9,15.8,145.8,16.6,0.007,158.6,18.5,17.8,201.8,18.7,0.16,251.5,0.3,299.9,37.8,322-2,39.7,0.02
16,Vitamin C (mg/d),14.6,1.4,20.7,1-3,31.6,1.4,<0.0001,27.4,1-3,1.2,40.3,1.3,<0.0001,40.6,1.8,47.1,1.7,56.3,1.8,<0.0001
17,Protein,13.1,0.3,14.0,0-3,15.0,0.3,<0.0001,13.4,0.2,0.2,14.6,0.2,<0.0001,15.6,0.2,16.0,0.2,16-6,0.2,0.18
18,Total fat,27.8,0.7,25.5,0.7,25.2,0.7,0.02,26.8,0.5,0.5,26.1,0.5,0.38,29.4,0.5,28.9,0.5,28.4,0.5,0.18
19,SFA,10-3,0.3,8.7,0.3,8.3,0-3,<0.0001,7.4,0.2,0.2,6.4,0.2,0.0004,7.9,0.2,7.6,0.2,6.9,0.2,0.0001
20,Carbohydrate,57.0,0.9,59.1,0.8,58.8,0.6,0.16,56.9,0.6,4.6,57.4,0.6,0.07,48.7,0.2,47.6,0.7,46.5,0.7,0.60
21,Added sugars,7.3,0.6,5.4,0.6,5.9,0.6,0.11,5-3,0-3,0.3,4.6,0.3,0.07,3.9,0.2,3.8,0.2,3.7,0.2,0.60
22,Alcohol,0.0,0.0,0.1,0.0,0.1,0.0,0.52,0.3,0.1,0.1,0.5,0.1,0.36,4.4,0.7,6.0,0.6,7.5,0.7,0.002
