,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Dietary exposure,,Model1,,,Model2*,,,Model3*,,,Model4*,,,Model5,
1,,OR,95% CI,P,OR,95% CI,P,OR,95% CI,P,OR,95% CI,P,OR,95% CI,P
2,"Daily intakeTromso4,n=3089","Daily intakeTromso4,n=3089",,,,,,,,,,,,,,
3,Proteing/MJ,1.04,0.98;1.11,0.17,1.00,0.93;1.06,0.88,,,,1.00,0.94;1.07,0.97,,,
4,Proteing/kg BW,0.47,0.34;0.63,<0.001,0.43,0.31;0.58,<0.001,0.42,0.25;0.72,0.001,0.45,0.33;0.62,<0.001,0.47,0.33;0.67,<0.001
5,"Daily intake Tromso7,n=2507","Daily intake Tromso7,n=2507",,,,,,,,,,,,,,
6,"Protein, g/MJ",1.01,0.95:1.07,0.87,0.95,0.89;1.01,0.09,,,,0.96,0.90;1.02,0.18,,,
7,"Protein,g/kg BW",0.58,0.47;0.72,<0.001,0.57,0.46;0.72,<0.001,0.51,0.38;0.70,<0.001,0.54,0.43;0.67,<0.001,0.44,0.30;0.64,<0.001
8,"Tracking of protein intake from Tromso4 to Tromso7,n=1908",,"Tracking of protein intake from Tromso4 to Tromso7,n=1908",,,,,,,,,,,,,
9,"Protein,g/MJ",,,,,,,,,,,,,,,
10,Stable high,1.00,,,1.00,,,,,,1.00,,,,,
11,Stable low,0.67,0.48:0.92,0.02,0.84,0.60;1.18,0.32,,,,0.80,0.57;1.14,0.22,,,
12,Decrease,0.80,0.58:1.10,0.17,0.91,0.65;1.26,0.57,,,,0.89,0.641.24,0.49,,,
13,Increase,0.82,0.60;1.12,0.21,0.93,0.67;1.30,0.69,,,,0.92,0.66;1.29,0.64,,,
14,"Protein,g/kg BW",,,,,,,,,,,,,,,
15,Stable high,1.00,,,1.00,,,1.00,,,1.00,,,1.00,,
16,Stable low,1.86,1.32;2.63,<0.001,1.96,1.38;2.78,<0.001,1.90,1.16;3.09,0.011,1.89,1.33;2.69,<0.001,1.63,1.09:2.44,0.02
17,Decrease,1.73,1.22;2.44,0.002,1.73,1.22;2.46,0.002,1.85,1.14;2.99,0.013,1.75,1.23;2.49,0.002,1.50,1.00:2.26,0.05
18,Increase,1.63,1.15;2.32,0.007,1.70,1.20;2.44,0.004,1.59,0.97;2.61,0.06,1.58,1.10;2.26,0.01,1.58,1.09;2.27,0.02
