,0,1,2,3,4,5,6,7
0,Item,,Proportions,,Binomial p,Binomial p,Fisher p,Cohen's h
1,,CO,MN,MN-CO,Co,MN,MN vs. CO,
2,1,0.4545,0.6085,0.1540,<0.001,<0.001,<0.001,0.31
3,2,0.2182,0.2597,0.0415,0.44,0.19,0.27,0.10
4,3,0.4473,0.7016,0.2543,<0.001,<0.001,<0.001,0.52
5,4,0.6291,0.7984,0.1694,<0.001,<0.001,<0.001,0.38
6,5,0.7345,0.8837,0.1492,<0.001,0.001,<0.001,0.39
7,6,0.2655,0.3463,0.0808,0.15,<0.001,0.05,0.18
8,7,0.3127,0.4784,0.1657,0.005,<0.001,<0.001,0.34
9,8,0.3200,0.4961,0.1761,0.002,<0.001,<0.001,0.36
10,9,0.5964,0.6899,0.0936,<0.001,<0.001,0.03,0.20
11,10,0.5709,0.7549,0.1840,<0.001,<0.001,<0.001,0.39
12,11,0.4036,0.5504,0.1468,<0.001,<0.001,0.001,0.29
13,12,0.3504,0.6008,0.2504,<0.001,<0.001,<0.001,0.51
14,,(b) Nutrient function questionnaire (NFQ),(b) Nutrient function questionnaire (NFQ),,,,,
15,Item,,Proportions,,Binomial p,Binomial p,Fisher p,Cohen's h
16,,CO,MN,MN-CO,CO,MN,MN vs. CO,
17,1,0.7426,0.7647,0.0478,<0.001,<0.001,0.24,0.11
18,3,0.7426,0.8672,0.1245,<0.001,<0.001,<0.001,0.32
19,3,0.3824,0.6568,0.2745,<0.001,<0.001,<0.001,0.56
20,4,0.2831,0.5515,0.2684,0.06,<0.001,<0.001,0.55
21,5,0.5515,0.7721,0.2206,0.001,0.001,0.001,0.47
22,6,0.4081,0.6852,0.2771,<0.001,<0.001,<0.001,0.56
23,7,0.6581,0.7897,0.1316,<0.001,<0.001,0.001,0.30
24,8,0.5294,0.6974,0.1680,<0.001,<0.001,0.001,0.35
25,9,0.5478,0.5535,0.0057,0.001,<0.001,0.93,0.01
26,10,0.2610,0.4170,0.1559,0.18,<0.001,<0.001,0.33
27,11,0.3493,0.6015,0.2522,<0.001,<0.001,<0.001,0.51
28,,(c) Nutrient recognition questionnaire (NRQ),(c) Nutrient recognition questionnaire (NRQ),(c) Nutrient recognition questionnaire (NRQ),,,,
29,Item,,Proportions,Proportions,Binomial p,Binomial p,Fisher p,Cohen's h
30,,Co,MN,MN-CO,Co,MN,MN vs.CO,
31,1,0.5625,0.7935,0.2310,<0.001,<0.001,<0.001,0.50
32,2,0.3971,0.6883,0.2912,<0.001,<0.001,<0.001,0.59
33,3,0.1618,0.3320,0.1702,0.50,0.001,<0.001,0.40
34,4,0.2390,0.3563,0.1173,0.32,<0.001,0.004,0.26
35,5,0.2684,0.6721,0.2309,<0.001,<0.001,<0.001,0.47
36,6,0.2684,0.4980,0.2296,0.13,<0.001,<0.001,0.48
37,7,0.5662,0.8988,0.1180,<0.001,<0.001,0.007,0.24
38,8,0.8419,0.8988,0.0569,<0.001,<0.001,0.07,0.17
39,9,0.6949,0.7814,0.0865,<0.001,<0.001,0.03,0.20
40,10,0.5441,0.6761,0.1320,<0.001,<0.001,0.002,0.27
41,11,0.5846,0.7045,0.1199,0.001,<0.001,0.005,0.22
42,12,0.7574,0.8462,0.0888,<0.001,<0.001,0.01,0.22
43,13,0.8676,0.9393,0.0716,0.001,<0.001,0.007,0.25
44,14,0.3529,0.4656,0.1126,<0.001,<0.001,0.01,0.23
45,15,0.5919,0.7126,0.2219,<0.001,<0.001,<0.001,0.49
46,16,0.5772,0.7126,0.1353,<0.001,<0.001,0.001,0.28
47,17,0.7353,0.7895,0.0542,<0.001,<0.001,0.15,0.13
48,18,0.7059,0.8502,0.1443,<0.001,<0.001,<0.001,0.35
49,19,0.5588,0.7449,0.1861,<0.001,<0.001,<0.001,0.39
50,20,0.7279,0.8623,0.1344,<0.001,<0.001,<0.001,0.34
51,21,0.8125,0.9150,0.1025,<0.001,<0.001,0.001,0.30
52,22,0.5772,0.7247,0.1475,<0.001,<0.001,<0.001,0.31
