,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,(T/ou),q0807,,,969,10002,,,,11112,,qEIEI,,,q87L,21120,,00000,,,qLOSI,q&89I,,r8I9Z,,,,,
1,,(T/1ouu),qL72,,,,,,e887,2772,,,,,,q&EI,,,,,,qL7I,,1877,,,r609,,e98E,
2,,,,,LI-IS,,,,LA-OS,CC-S,,LCALLD,,,,,CS-S,,,,,LSIS,,LS-IS,,,,,,
3,,,,24h,,,,,sods,sods,sods,,sods,sopt,sopt,sodt,,,,sods,sods,sods,,sods,,,,,,sodt
4,Xpms Jo odKL,,,C-S,Cororr,,,OON,,OON,,,OON,Cohohr,C-S,C-S,C-5,,5,S-S,C-5,C-S,,C-S,,,,,,C-5
5,Aee,Aee,,,,,,,,,,,,,,9<,,,,220,8I<,8I<,,,,29-00,,09<,,1-1
6,SeX,,%89,,,,,,,,,,,,%29),H/W,,,%09,,,%6t,%8,,H,,,,,
7,Z,,475,128,,,107,,,,,3,744,,6009,,,0,,,,2222,,,009,1713,1228,,,
8,Couooy,,,,,,,,,,,,,,,,,,3,3,3,3,,sn,,,,,,3
9,,,6661-S661,-,,,,,,,,,,,,,,,2000,,,,,20001000,,,,,,
10,,,,,,,,,,,,,,],,,,,,,,,,[L9] nX,,,,,,
