,0,1,2,3,4,5
0,Phenotypic Test,,,,Phenotypic Classes,
1,Phenotypic Test,Type of Medium,0,1,2,3
2,15,Liquid (synthetic must),3,3,26,8
3,25,Liquid (synthetic must),0,0,0,40
4,30,Liquid (synthetic must),0,0,0,40
5,37,Liquid (synthetic must),35,1,2,2
6,Ethanol 5%(/v),Liquid (synthetic must),1,1,2,36
7,Ethanol 10% (v/v),Liquid (synthetic must),21,11,5,3
8,Ethanol 14% (v/),Liquid (synthetic must),37,3,0,2
9,Ethanol 18%(v/),Liquid (synthetic must),38,2,0,0
10,Glucose (200 g/L),Liquid (synthetic must),0,0,0,40
11,Fructose (200 g/L),Liquid (synthetic must),0,0,2,38
12,Sucrose (200 g/L),Liquid (synthetic must),0,0,1,39
13,Maltose (200 g/L),Liquid (synthetic must),0,8,25,7
14,NaCl(1.5 M),Liquid (synthetic must),2,8,26,4
15,KCl (1 M),Liquid (synthetic must),0,0,1,39
16,HO2(2 mM),Liquid (synthetic must),13,0,1,26
17,CuSO4 (5 mM),Liquid (synthetic must),19,11,8,2
18,Fluconazole (0.5 mg/mL),Liquid (synthetic must),0,0,9,31
19,Myclobutanil (0.5 mg/mL),Liquid (synthetic must),0,4,26,10
20,Metalaxyl (0.5 mg/mL),Liquid (synthetic must),0,0,0,40
21,Tebuconazole (0.5 mg/mL),Liquid (synthetic must),0,2,19,19
22,-glucosidase activity,Solid (Arbutin Agar),0,19,18,3
23,-glucosidase activity,Solid (Bile Esculin Agar,2,12,24,2
24,HS production,Solid (BiGGY Agar),4,2,10,24
25,Ethanol 12%(v/),Solid (MEA),3,15,13,9
26,Ethanol 12% (v/v)+ 0.25 mM SO2,Solid (MEA),15,11,7,7
27,Ethanol 12% (v/v)+ 0.5 mM SO2,Solid (MEA),18,10,5,7
28,Ethanol 12%(v/v)+ 1.0 mM SO2,Solid (MEA),23,8,5,4
29,Ethanol 12%(v/v)+1.5 mM SO2,Solid (MEA),28,3,6,3
30,Killer activity-killer phenotype,Solid (YPD-MB Agar),39,1,-,-
31,Killer activity--sensitive phenotype,Solid (YPD-MB Agar),37,3,-,-
32,Freeze resistance,Liquid (LF),7,6,10,17
