,0,1,2,3,4,5,6,7,8,9,10,11
0,,,Quartile of the Japanese Food Guide Spinning Top score,,Quartile of the Japanese Food Guide Spinning Top score,,,,,1 points increment,1 points increment,p for trenda
1,,Q1(n=1756,Q1(n=1756,Q2n=1756,Q2n=1756,Q3n=1755,Q3n=1755,Q4n=1755,Q4n=1755,,,
2,Grain dishes,,,,,,,,,,,
3,Case [n(%],250,(14.2),257,(14.6),243,(13.8),248,(14.1),,,
4,Model 1b,1.00,(Ref),1.01,(0.84 to 1.23),0.92,(0.76-1.11),0.88,(0.73-1.07),0.97,(0.95-1.00),0.079
5,Model 2c,1.00,(Ref),1.02,(0.84-1.24),0.92,(0.76-1.12,0.86,(0.70-1.04),0.98,(0.95-1.00,0.098
6,Vegetable dishes,,,,,,,,,,,
7,Case [n%],273,(15.5),265,(15.1),231,(13.2),229,(13.0),,,
8,Model 1b,1.00,(Ref),0.97,(0.81-1.17),0.79,(0.65-0.96),0.73,(0.600.89),0.95,(0.92-0.97),<0.001
9,Model 2c,1.00,(Ref),1.03,(0.851.25),0.87,(0.71-1.07),0.86,(0.70-1.06),0.97,(0.950.99),0.041
10,Fish and meat dishes,Fish and meat dishes,,,,,,,,,,
11,Case [n(%],269,(15.3,266,(15.1,225,(12.8),238,(13.6),,,
12,Model 1b,1.00,(Ref),1.07,(0.891.29),0.92,(0.76-1.12,0.99,(0.821.20),1.00,(0.98-1.02),0.801
13,Model 2c,1.00,(Ref),1.02,(0.85-1.24),0.87,(0.71-1.06),0.95,(0.78-1.15),0.99,(0.97-1.01),0.294
14,Milk,,,,,,,,,,,
15,Case [n(%],307,(17.5),264,(15.0,204,(11.6),223,(12.7),,,
16,Model 1b,1.00,(Ref),0.90,(0.75-1.09),0.66,(0.54-0.80),0.71,(0.590.86),0.96,(0.940.98),<0.001
17,Model 2c,1.00,(Ref),0.92,(0.77-1.11),0.71,(0.580.86),0.79,(0.650.97),0.97,(0.950.99),0.003
18,Fruits,,,,,,,,,,,
19,Case [n(%)],300,(17.1),246,(14.0,221,(12.6),231,(13.2),,,
20,Model 1b,1.00,(Ref),0.79,(0.65-0.95),0.67,(0.55-0.81),0.68,(0.56-0.83),0.96,(0.93-0.98),<0.001
21,Model 2c,1.00,(Ref),0.87,(0.72-1.06),0.78,(0.64-0.95),0.83,(0.68-1.02),0.98,(0.96-1.00),0.109
22,Total energy,,,,,,,,,,,
23,Case [n%],230,13.1,243,(13.8,278,(15.8),247,(14.1,,,
24,Model 1b,1.00,(Ref),1.31,(1.05-1.62,1.44,(1.14-1.82),1.17,(0.911.51),1.16,(1.05-1.29),0.004
25,Model 2c,1.00,(Ref),1.19,(0.95-1.48),1.19,(0.931.53),1.07,(0.821.39),1.09,(0.981.22),0.108
26,Snacks and alcohol,,,,,,,,,,,
27,Case [n(%],270,(15.4),263,(15.0,234,(13.3),231,(13.2,,,
28,Model 1b,1.00,(Ref),0.97,(0.801.17),0.81,(0.660.98),0.77,(0.630.95),1.00,(0.961.04),0.945
29,Model 2c,1.00,(Ref),0.94,(0.77-1.14),0.84,(0.681.02),0.86,(0.701.06),0.99,(0.96-1.03),0.655
30,White-red meat,,,,,,,,,,,
31,Case [n (%)],262,(14.9),242,(13.8),276,(15.7,218,(12.4),,,
32,Model 1b,1.00,(Ref),0.94,(0.78-1.14),1.05,(0.871.26),0.76,(0.630.93),0.99,(0.96-1.01),0.271
33,Model2c,1.00,(Ref),0.96,(0.791.17),1.02,(0.841.23),0.81,(0.660.99),0.99,(0.961.01),0.389
