,0,1,2,3,4,5,6,7,8
0,Storage Period,,,pH,,gL-1,,(%),
1,Harvest,,,3.460.072,3.460.072,12.00.017,12.00.017,11.630.16,321.26.9
2,,7 d at5C,,,,,,,
3,Unwrapped,,3.53  0.028 b 1,3.53  0.028 b 1,3.53  0.028 b 1,11.0  0.29 a,11.0  0.29 a,11.580.20b,323  2.4 a
4,Omni film,,3.520.012b,3.520.012b,3.520.012b,10.50.20b,10.50.20b,11.820.13 a,321  3.2 a
5,Coralife film,,3.64  0.029 a,3.64  0.029 a,3.64  0.029 a,9.400.27c,9.400.27c,11.270.17c,324  3.8 a
6,7 d at 5Cplus7 d at20C,7 d at 5Cplus7 d at20C,,,,,,,
7,Unwrapped,,3.63  0.054 b,3.63  0.054 b,3.63  0.054 b,100.17 a,100.17 a,11.98  0.24 a,326  6.3 a
8,Omni film,,3.610.019 b,3.610.019 b,3.610.019 b,9.60.01 b,9.60.01 b,11.670.12b,319  3.7 a
9,Coralife film,,3.810.016a,3.810.016a,3.810.016a,8.60.15c,8.60.15c,11.230.17 c,3254.4 a
10,7 d at 5C plus 14 d at 20C,7 d at 5C plus 14 d at 20C,,,,,,,
11,Unwrapped,,3.700.055 b,3.700.055 b,3.700.055 b,9.6  0.39 a,9.6  0.39 a,12.2  0.21 a,334  11.1 a
12,Omni film,,3.77 0.037 b,3.77 0.037 b,3.77 0.037 b,9.1 0.37 b,9.1 0.37 b,12.1  0.24 a,329  9.2 a
13,Coralife film,,3.89  0.028 a,3.89  0.028 a,3.89  0.028 a,7.80.34 c,7.80.34 c,11.2  0.22 b,322  9.4 a
14,,,,,,,ANOVA,,
15,Source,,df,,F-ratio,,F-ratio,F-ratio,F-ratio
16,Period (P),,3,,7.37***,,645 ***,9.56 ***,1.67 ns
17,Treatment (T),,2,,0.61 ns,,0.37 ns,0.15 ns,0.68 ns
18,Film (F),,2,,3.70 *,0.182 ***,0.182 ***,72.5 ***,0.43 ns
19,PT,,6,,0.68 ns,,0.38 ns,0.96 ns,0.14 ns
20,PXF,,6,,0.63 ns,,20.8 ***,14.2 ***,0.16 ns
21,TF,,4,,0.53 ns,,0.38 ns,0.17 ns,0.11 ns
22,PTF,,12,,0.52 ns,,0.12 ns,0.18 ns,0.28 ns
