,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,,,600,,000.0,080,080,,,800,110,00.2,00.2,100,020,,900,L00.07,,075
1,,I%S6),100,,(0122'00'197),,800,,600,,,,,(600-'88'0-),,,,090,,,
2,,,,032,,02.0,0000,0000,6000,,014,00.0,000,000,00.2,,,110,062,,012
3,,(I %S6),214,,,,,,,,,000,,,,,,,00,,
4,,,,990,,0000,000,000,,,044,600,,,,,98'0,,110,110,960
5,,(ID %S6),146,,,,,,,,110,00.0,,(910-'660),600,,000,105,,,
6,,,,860,,042,,,,,,,,,0000,00.1,014,,,,045
7,9,ID%S6),178,(0681001) 17,,,000,00100),900-,(00100),800,,,,444,,800,,200,,
8,,,,060,,,00.2,00.2,022,022,,,000.0,,,014,060,0000,024,024,011
9,,(ID %S6),324,,,(100-081),101,,500-,0010,000,,,,,,000,044,,1000),1111
