,0,1,2,3,4,5,6,7
0,,Baseline,24 Weeks,24 Weeks,,36 Weeks,, p Value
1,Parameters,WSS (N = 79),BSS (N = 72),WSS (N = 74),BSS (N =70),WSS (N = 71),BSS (N = 68),
2,Body Weight (Kg),81.2  12.3,93.3  3.61,78.6  6.42,91.9  7.60,76.9  3.30,87.3  5.80,<0.01
3,BMI (kg/m2),28.1  4.25,32.3  1.26,27.2  2.22,31.8  2.63,26.6  1.15,30.2 1.99,<0.01
4,WC (cm),84.9  3.98,1076.90,83.9  5.55,100 3.89,82.5  4.11,101  2.11,<0.001
5,WC/WHratio,1.09  0.02,1.13  0.02,1.05  0.01,1.11  0.04,1.03  0.03,1.09  0.05,<0.01
6,BF(%),46.6  2.17,55.1  8.12,45.9  3.32,54.5  4.11,39.3  7.71,53.9  2.41,<0.001
7,Glycemia (mmol/L),6.70  1.49,5.911.97,6.38  1.09,5.66  1.83,5.671.11,5.49  1.33,0.223
8,Insulinemia (pmol/mL),817.15,114  2.91,77.7  3.55,1055.62,72.9  5.76,95.6  4.79,<0.001
9,HOMA-IR,3.50  0.93,5.01  0.67,3.17  0.11,4.50  0.55,2.64  0.34,4.09  0.26,<0.001
10,Triglycerides(mmol/L),2.19  0.28,1.45  0.26,1.84  0.71,1.32  0.31,1.650.05,1.150.01,<0.001
11,Total Cholesterol (mmol/L),5.84  0.68,4.750.32,5.39  0.88,4.26  0.43,5.12  0.33,3.82  0.81,<0.001
12,HDL-C (mmol/L),0.85  0.08 (M),0.95  0.18 (M),1.14  0.3 (M),1.09  0.17 (M),1.24  0.04 (M),1.25  0.04 (M),<0.01
13,,1.11  0.15 (F),1.24  0.13 (F),1.21  0.8 (F),1.27  0.05 (F),1.26  0.03 (F),1.28  0.02 (F),<0.01
14,LDL-C (mmol/L),4.52  0.81,3.170.79,4.29  0.27,3.02  0.44,4.060.16,2.66 0.23,<0.001
15,Hs-CRP (mg/L),5.90  1.11,8.181.33,5.07  1.44,8.06  1.01,4.45  1.09,7.81 1.68,<0.01
16,Fibrinogen (g/L),4.28  1.15,4.44  1.27,4.31  1.22,4.52  1.13,4.25  1.09,4.49  1.11,0.457
17,Ceruloplasmin (mol/L),1.04  0.32,1.68  0.57,1.90  0.99,1.79  0.33,2.44  0.16,1.91  0.33,<0.001
18,SBP (mmHg),141 3,159  7,1351,1572,1305,155  6,<0.01
19,DBP(mmHg),723,90  2,705,871,68 3,852,0.145
20,S-Phosphorus (mmol/L),1.20  0.19,1.19  0.11,1.15  0.81,1.16  0.44,1.12  0.73,1.14  0.55,0.117
21,U-Phosphorus (mmol/24 h),302  25,221  17,272  51,211  33,254  13,209  47,<0.01
