,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,Effect,,,Poultry Feed (PF),Poultry Feed (PF),Poultry Feed (PF),Poultry Feed (PF),,,Food Waste (FW),Food Waste (FW),Food Waste (FW),,,Poultry Manure (PM),Poultry Manure (PM),Poultry Manure (PM),
1,Amino Acid,,,,,,,BSFL,,,,,BSFL,BSFL,,,,BSFL,,
2,,Strain,Diet,SxD,,Strain,Strain,Strain,Strain,Strain,,Strain,Strain,Strain,Strain,,Strain,Strain,Strain,Strain
3,,DF=3,(DF =2),DF =6,,,S2,,S3,S4,,S1,S2,S3,S4,,S1,S2,S3,S4
4,Asx,18.71 ***,2.01,(4),8.17,9.17 a,aD,,8.75,8.74 b,6.34,9.06 e,E,eH,8.67 f,9.25,9.00i,jE,9.25,8.59 j
5,Cys,0.97,832.00 ***,11.77 ***,1.95,0.96,0.98,,aH,bL,2.56,0.97 B,1.00E,0.99 H,0.97 K,2.70,iA,iD,jG,1.37iJ
6,Cys,0.97,832.00 ***,(9),1.95,aB,aE,,aH,bL,2.56,0.97 B,1.00E,0.99 H,0.97 K,2.70,iA,12.76,jG,13.10
7,Glx1,198.53 ***,784.70 ***,(9),19.63,B,E,,H,L,23.57,gC,ef E,fH,eK,13.68,iA,jk D,kG,jL
8,Gly1,37.30 ***,65.37 ***,10.29***,4.39,aB,bE,,L1,aK,3.75,eA,E,5.48,fL,6.95,iA,5.66,jk G,ijJ
9,Gly1,37.30 ***,65.37 ***,(6,4.39,aB,bE,,5.41,aK,3.75,eA,E,5.48,fL,6.95,iA,5.66,jk G,ijJ
10,Prol,24.52 ***,87.01 ***,5.43 ***,7.23,6.14 B,DE,6.07H,6.07H,6.48 J,9.73,eA,fD,6.68,ef J,5.48,ijC,"""iE",5.85,jK
11,Prol,24.52 ***,87.01 ***,(3),7.23,6.14 B,DE,,6.07H,6.48 J,9.73,eA,fD,eG,ef J,5.48,ijC,"""iE",5.85,4.29
12,Ser,1.94,11.45 ***,1.05,4.98,4.34,4.13,4.20 H,4.20 H,4.10 K,5.75,4.42,4.37,4.46 G,4.52 J,5.19,4.46,4.30,GH,4.29
13,Tyr1,219.90 ***,293.08 ***,10.83 ***,2.89,bA,bD,,aG,aJ,2.36,fB,eE,7.3 ,eK,3.10,6.57,jF,iH,jL
14,Specific protein,26.40 ***,230.63 ***,11.83 ***,196.4,362.6,384.2,,bH,375.7,139.8,311.3,351.2,338.4,355.0,93.9,kA,383.8,389.4,372.0
15,(g/kg DM)1,26.40 ***,230.63 ***,12,196.4,CA,aD,,5.69,bJ,139.8,gB,eE,fI,eK,93.9,kA,5.28,iG,jJ
16,Kp(xN) 1,23.77 ***,360.48 ***,2.52 *,6.08,abA,5.68,,5.69,bJ,5.70,5.46 B,5.58 D,5.56 H,5.51 K,2.02,5.07,"""iE",5.18 i1,4.97
17,Kp(xN) 1,23.77 ***,360.48 ***,(0,6.08,abA,ab D,,aG,bJ,5.70,5.46 B,5.58 D,5.56 H,5.51 K,2.02,jc,"""iE",5.18 i1,jL
