,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,,,(042),,,,,,,,,12),,,,,
1,,187,,,,128,,105,,1,,115,,,I7I,,,,
2,,,,,09,619),,,,809,,,,,,,,,
3,I81=1,,4,,2,,,,,,,,,45,188,,,,
4,,,,,,,,0),,,,,,,,,80,,85
5,,,,SIS,202,+09,168,,,SSS,126,,,,969,,397,,
6,,,,611,611,,,,,,,,444),,,,,,
7,,484,,556,15,,,224,,37T,40,311,280,152,178,,,,
8,,,,,10),(112),,122),,,,,,,,,,,
9,I9t=1,,,,,,40,148,,313,5T,,89,,335,111,981,,
10,,698),,,,,,(22E),,,,619,082),,,(622),,I+),
11,,205,,,7,130,,,,160,,,99,,172,,,,
12,,086),,,,,,,,,,,,,,,,,
13,,,,,,,00,,,144,,101,,,,,2,,
14,,,,,,,,,,,,819,,,,,,,
15,,4,,,,,,,,,,,,,,,,2,221
16,,,111),,,,,,,,,,,,,,,,
17,,90t9,I71I,514,,,1210,,,,,,,2110,2887,2002,3888,,
18,,089),,,,,,,,,,,,,,06,90,,
19,,2447,,,,,,,,,,,,,,,3833,,
20,,,Mie,,,,,q8H>,soooot,,,,,,,MOT,,,
