,0,1,2,3,4,5,6,7,8,9,10,11
0,,2010,2011,2012,2013,2014,2015,2016,2017,2018b,2019c,2020c
1,Honduras,4.7,6.8,5.2,5.2,6.1,3.2,2.7,3.9,4.3,4.0,3.9
2,Mexico,4.2,3.4,4.1,3.8,4.0,2.7,2.8,6.0,4.8,4.2,3.8
3,Nicaragua,5.5,8.1,7.2,7.1,6.0,4.0,3.5,3.9,4.9,4.5,4.5
4,Panama,3.5,5.9,5.7,4.0,2.6,0.1,0.7,0.9,0.8,1.3,1.6
5,Caribbean,8.3,6.5,6.4,4.7,4.8,3.4,6.1,4.1,2.7,3.2,3.6
6,Bahamas,1.3,3.2,2.0,0.7,1.5,1.9,-0.3,1.5,2.0,2.3,2.4
7,Barbados,5.8,9.4,4.5,1.8,1.8,-1.1,1.3,4.7,2.6,2.4,2.3
8,Belize,0.9,1.6,1.3,0.5,1.2,-0.9,0.7,1.2,0.3,1.3,2.0
9,Guyana,2.1,5.0,2.4,1.9,0.9,-1.0,0.8,1.9,1.4,1.9,2.4
10,Jamaica,12.6,7.5,6.9,9.3,8.3,3.7,2.3,4.4,4.2,4.0,4.0
11,Suriname,6.9,17.7,5.0,1.9,3.4,6.9,55.5,22.0,8.3,7.5,6.5
12,Trinidad and Tobago,10.5,5.1,9.3,5.2,5.7,4.7,3.1,1.9,1.3,2.6,3.6
13,Latin America and the Caribbean-,2.9,4.0,3.9,2.5,3.3,4.7,6.1,3.4,2.5,2.7,2.8
14,net fuelexporters,,,,,,,,,,,
15,Latin America and the Caribbean -,6.4,7.2,6.6,7.2,9.4,8.2,10.2,6.4,7.2,7.1,5.6
16,net fuel importers,,,,,,,,,,,
17,Memorandum items:,,,,,,,,,,,
18,Least developed countries,8.2,12.6,11.1,8.6,7.8,8.4,15.2,14.8,13.8,8.6,7.2
19,East Asia (excluding China),3.4,4.7,3.2,3.1,3.1,1.9,1.7,2.3,2.2,2.5,2.5
20,South Asia (excluding India),10.2,16.2,18.3,25.1,12.4,9.3,6.8,8.1,18.1,22.1,15.2
21,Western Asia,,,,,,,,,,,
22,(excluding Israel and Turkey),3.3,4.4,3.7,4.7,2.7,3.0,3.0,1.2,2.5,2.3,2.6
23,Arab Statesf,4.3,5.5,5.1,5.6,4.2,4.4,5.6,6.2,5.5,3.9,3.6
24,Landlocked developing economies,6.6,10.9,8.2,5.8,5.6,5.9,12.7,10.1,7.4,5.7,5.2
25,Small island developing States,3.7,6.4,4.8,2.9,2.0,0.9,2.1,2.4,2.4,2.6,2.7
