,0,1,2,3,4,5,6,7,8
0,,,Total,,,LSHP diet,,Usual diet,
1,,Coefficient correlation,Coefficient correlation,Pvalue,Coefficient correlation,Coefficient correlation,Pvalue,Coefficient correlation,Pvalue
2,Energy (kcal/d),0.279a,,0.334*,-0.58,,0.17,-0.001,0.99
3,Carbohydrate (g),0.613,,0.02*,0.57,,0.18,-0.66,0.11
4,Fat (g),0.518,,0.06,0.65,,0.11,0.07,0.88
5,Protein (g),0.602,,0.023*,0.29,0.29,0.53,0.28,0.54
6,Fibre (g),0.787,,0.001*,0.58,0.58,0.01*,0.06,0.39
7,Sodium (g),0.201,,0.49,-0.38,,0.41,0.24,0.61
8,Magnesium (g),0.62,,0.018*,0.37,,0.41,0.19,0.69
9,Calcium (g),0.832,,<0.001*,0.29,0.29,0.54,0.5,0.25
10,Vitamin C (mg),0.551,,0.041*,0.07,,0.88,0.39,0.39
11,Vitamin E (mg),-0.289,,0.316,0.3,,0.51,0.72,0.07
12,Vitamin A (ug),0.229,,0.43,0.64,0.64,0.12,0.34,0.46
13,Saturated fat,0.635,,0.015*,0.42,0.42,0.35,0.6,0.15
14,Cholesterol,-0.38,,0.18,-0.29,,0.53,0.31,0.49
15,Energy density,-0.956,,<0.001*,0.18,,0.7,0.34,0.45
16,Potassium density,0.998,,<0.001*,0.92,,0.003*,0.78,0.04*
17,Fruits (g),0.975,,<0.001*,0.58,,0.18,0.61,0.15
18,Vegetables (g),0.358,,0.209,0.52,,0.23,-0.46,0.29
19,Diet cost (IDR),0.809,,<0.001*,0.45,0.45,0.31,0.68,0.09
