,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,,6,2,,,,,,,,,2090,,,,,::,,,0
1,orr,mamns,,717,224,2,2,,,,225,,FOmO,,,22,,,3,3333,505
2,so ar,,,,,,,22,,,,,2066,,,23,3,3,,,2630
3,,,,,,,,,,10,2,90-,9022,,,,,,,2333,42T
4,,,,,,4,,,,12,,,,,,,,6,6,,8533
5,,,,,2.10,A,,250,,0.1,20,,,,,52,,2,2,617,321
6,,,,,,,,2,,6:0,,,,142,142,,,4,8,,2069
7,orr,,,140,,,,,,90-,,90,,,,,,,,,F068
8,,,224,224,224,,,,,8:0,,,,,,,,,8,,332
9,orr,,157,10,,,,,,,100,90,13237,,,,,,,,1453
10,,,,,,,,,,6:0,,,,233,233,28,,3,9,,7253
11,orr,,,,22,,,,,80-,227,90,,,,,,,,,
12,,,,,,,4,4,,8.0,,,,222,222,,,2,2,,
13,orr,,217,,,173,,2.50,,9.5,2,:0,,,,,,5,,1,
14,,%,10,,,,,,,1.0,2,2,,,,22,,3,,2,364
15,orr,,,217,217,,204,,,100,,100,,107,282,164,,,55,473,
16,,,,,,,,694,,270,,,,,,,564,,,,
17,,,,,,,,,zw/by,,,,,,,,,,,,
