,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Variable,Control,,,1.535% BCAA,1.535% BCAA,,3.07% BCAA,3.07% BCAA,,Pooled,P-value,,
1,,d 3,d 15,d 29,d 3,d 15,d 29,d3,d 15,d 29,SEM,Treatment,Day,TD
2,Ala,369,492,517,482,600,607,596,640,649,42,0.001,<0.001,0.485
3,Arg,103,121,150,147,173,177,161,181,182,15,<0.001,0.001,0.632
4,Asn,58,63,80,83,85,85,96,92,95,5.9,<0.001,0.052,0.037
5,Asp,32,34,36,34,33,36,35,34,38,2.0,0.353,0.005,0.789
6,3-Ala,17,18,19,18,18,19,18,19,19,0.59,0.021,0.038,0.056
7,Cit,60,64,74,70,78,90,86,85,91,6.7,<0.001,0.004,0.597
8,Cys2,229,235,236,231,235,239,243,252,255,14,0.100,0.555,0.999
9,Gln,564,567,572,620,628,632,654,664,670,26,0.001,0.717,1.00
10,Glu,84,72,80,113,121,125,132,140,143,18,<0.001,0.494,0.461
11,Gly,947,964,1003,949,981,1018,1029,981,1023,54,0.429,0.343,0.822
12,His,76,69,80,80,75,78,91,79,80,4.2,0.005,0.008,0.161
13,lle,70,91,114,130,139,146,169,195,219,14,<0.001,<0.001,0.545
14,Leu,148,167,210,260,286,295,341,397,403,30,<0.001,0.011,0.831
15,Lys,124,126,130,138,144,147,156,164,163,8.1,<0.001,0.265,0.984
16,Met,37,35,34,41,41,41,41,42,50,3.0,0.001,0.354,0.083
17,Orn,69,76,102,76,77,101,78,77,105,6.1,0.465,<0.001,0.882
18,Phe,72,77,96,73,73,95,79,73,97,4.7,0.684,<0.001,0.66
19,Pro,237,246,247,300,306,320,358,376,385,17,<0.001,0.162,0.945
20,Ser,136,137,147,138,141,151,139,142,154,9.1,0.675,0.030,0.997
21,Tau,55,61,58,58,62,61,58,66,67,5.1,0.149,0.119,0.921
22,Thr,101,102,127,108,101,132,109,119,132,9.4,0.151,0.001,0.692
23,Trp,49,49,52,53,51,57,54,60,64,3.8,0.001,0.038,0.482
24,Tyr,58,74,91,79,90,92,82,91,99,6.3,<0.001,<0.001,0.194
25,Val,182,216,234,276,326,357,374,416,473,32,<0.001,<0.001,0.852
26,TBARS,1.99,2.37,2.84,1.76,2.17,2.59,1.70,2.02,2.41,0.18,0.004,<0.001,0.982
