,0,1
0,,j1 cx S9 x Ygbol c1sL gwxaa g ulo GYgb
1,ouolao9sxElsslgogdouSaalslai,P9wyc9aissSabjl.c-w1cygax
2,,"-glbol y* g (Shrinkage) s, a yxo w1gs"
3,C1jg1 g Cw1ou Jgaxyl s1guZ9 w gss,9 pab 9 yhc uaoL (BroWning) ju w slogp cog Col
4,,juasloge(V)sssogs LoLg vco
5,caogiys.(Ir) cwlaaIsolaodo ylaslodiga,oblaoacwloas1galajlaji
6,gD2L91>S1LUV-BLa1s,j1osliw1.(N)os5ooua Saicygaxojsglbol
7,,S1w1g5pH uaoL 9 YL CgbO1joOwL sL3
8,,Cl>asj1aS b1;1JgwW JyS sd>L IuaSI
9,A) Cal da1xD2 oL9lnx,
10,--- g lo go l  Actinidia deliciosa Sg.,Elgil j1 oslbw1s1ssaa caoL Jg axCugb
11,d5cw1lo9aS pLapodic5googil,
12,,slogejlsgb9s191Lalleoowlool
13,godaolsgs(19r.)cw1dg,
14,,Wgw1aw1 mbi sww1cWyj1oslw1as o1s gLa
15,5lo a5 xwJg aS s1s og9 OLz5 g1 ;1 5g5L g,
16,dyiogoolossSaygbosboglbwls,Sasolalsgouloslx.Cwlou(1)wlL
17,w1xEls1go-j9OgsLaLLwL19)c w1,
18,,Jgaxessljgsge9uaslogeoljcaol
19,L cos ogao col ga mlscugb3gou ,alglosew1.1rsgsoselowSas
20,L9Elos1go LSggs55a>y1 gao.(19)Cw1,9yelbsieos1goslgdicswlacwllicslg
21,,algx(If)ossljol1cygaxaJgb
22,,G5 aws dw d aS w mo 5mblieogyS1 algo1 5g
23,9sja w1sloJgbrmtssdlboys(r1)c w1,9gLLAUV-BgLFLUV-A
24,s1sgLa ou Sasgsloj9s9 xCgolg,1rggLFALFUV-C
25,Fwgg CugbuaoL ccL Jg1oaj1ool-w1a,w=uS1pgL wL sLaa o1go L wSs ys UV-A
26,,Clol c-go calie olgo swa s (Titanium dioxide)
27,,11w UV-Bgx(Ido95oCYgaxs5xL
28,SasloolLx9)cwIaa1ss1Lodiga,Sgas Losj gogsieoolgo Cuissllgs5uL
29,,wUV-C gx19s1sglL5b99L
30,,Lo9  (Deoxyribonucleic acid) DNA 
31,,aS 19UV-B9UV-AlsLg1Y
32,,sj11g1 Js a w sl9su w-w1 ogcL
