,0,1,2,3,4,5,6,7,8,9,10
0,,,,L*x,,,Chroma,,,Hue,
1,Genotype,n,Mean (SD),,Range,Mean (SD),,Range,Mean (SD),,Range
2,Table Gold Acorn'(TGA),9 (27,72.9 (3.1),,66.6-79.0,69.4 (4.6),,56.9-78.3,80.9 (2.9),,76.1-88.3
3,PI 314806,7 (19),81.9 (2.5),,77.086.1,11.6 (1.8),,9.0-15.3,102.5 (1.3),,100.3-104.8
4,FTGA PI 314806,10 (30),80.3 (2.0),,77.1-84.2,15.8 (1.7),,13.219.3,102.8 (2.0),,99.5-106.1
5,BCP1(TGAF),71 (210),79.4 (4.0),,68.3-87.0,37.5 (16.1),,10.4-72.8,95.4 (6.6),,78.1-107.3
6,BCP2 (F  PI 314806),91 (260),80.9 (2.2),,73.285.9,14.9 (2.0),,9.819.9,101.3 (1.8),,96.7105.9
7,Table King Bush'(TKB),10 (26),80.5 (1.6),,77.3-83.3,53.2 (2.8),,48.3-59.3,90.5 (1.4),,87.7-92.9
8,PI 314806,618,81.5 (2.0),,79.1-85.4,11.4 (1.1),,9.6-13.2,102.3 (1.2),,100.6-105.0
9,FTKB PI 314806,11 (32),80.7 (2.1),,76.8-84.5,15.2 (1.3),,13.2-17.4,100.9 (1.4),,97.6-103.7
10,BCP(FTKB),75 (219),81.2 (2.8),,72.988.4,33.1 (11.8),,13.3-57.5,96.6 (3.4),,88.2104.9
11,BCP2FPI 314806,84 (246),80.3 (2.2),,74.9-85.2,13.4 (1.5,,9.5-18.0,100.8 (1.4),,96.5-103.9
12,Butterbush'BB,12 (36),69.6 (2.1),,66.6-74.9,71.2 (3.1),,62.978.0,76.3 (3.5),,69.8-85.0
13,Sucrine DuBerry'(SDub,11 (29),66.8 (1.6),,64.270.7,55.3 (4.2),,47.8-62.5,74.9 (4.0),,69.283.2
14,FBB  SDub,10 (30),69.8(1.7),,66.073.1,65.5(3.1),,60.471.6,75.4 (2.5),,69.880.6
15,BCp1(F  BB),67 (201),70.8 (2.1),,66.1-79.1,66.8 (4.5),,44.4-75.2,79.4 (3.8),,70.7-95.8
16,BCP2FSDub,88 (232),68.7 (2.1),,64.2-76.6,61.2 (4.8),,46.170.9,75.7 (3.6),,69.1-88.0
