,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,,as,30000100,,,,,,,000,,000,000,000,,000,012,100,000,+0'0,004,000,
1,,AVO DH,,30000100,,,,,,,,160,00.2,100,810,,,,110,002,,110,,
2,,AVO DH,,,,,,,q,,,,9,,,,,,,,,e 00'8Z 00'9LZ,,
3,,as,,100,100,,,00.2,000,009,200,030,10,020,010,020,010,400,10,,20021.0,e 00'8Z 00'9LZ,00'8100'281,
4,,,,,,,220,,00.2,,,089,1000,170,180,1220,110,100,1010,220,20021.0,e 00'8Z 00'9LZ,00'8100'281,
5,,,as,,030,,,,,,151,012,000,000,100,,100,,004,000,115,110,900,
6,,AVO DH,,,11,,,,,,,400,000,000,,,07,,,00.2,,118,01.2,
7,,AVO DH,,,q 900,,q 90'0,2,,q,,q 00'I,,q 06'0,,,q 0Z0,q O0'tZI,q 00,,q 0SI,,q,q S8'I
8,,as,,,q 900,,q 90'0,000,000,1100,,q 00'I,080,q 06'0,,,q 0Z0,q O0'tZI,q 00,,q 0SI,,3000,q S8'I
9,[O1-IL]V,,,,22,,277,,000,,31170,2010,220,2114,,,2200,,3300,240,290,,,1150
10,,,,,,,,,,,,,,,,J'N,,,,,J'N,,,
11,,,,10,220,,,,,,,,899,830,,,,,,100,10,899,899,
12,,,,,,AO,,,,,,,,,,,,,,,,,,
13,,,,,,/,,Hd,,,,,,,,,,,,,,,,
