,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,Q1(n=765),Q1(n=765),,Q2(n=765),,,Q3 (n =766),,,Q4 (n =765),,,Q5(n=765,,p for
1,,,Q1(n=765),,Q2(n=765),,,Q3 (n =766),,,Q4 (n =765),,,Q5(n=765,,Trend 1
2,"Starch (g/day), median 2",110.6,,135.8,,,151.2,,,166.2,,,187.3,,,
3,Depressive symptoms (%) 3,17.4,,15.6,,,18.0,,,14.9,,,18.2,,,
4,Model 1 4,1.00,(reference),0.88,"(0.67,",1.15,1.04,"(0.80,",1.36,0.83,"(0.63,",1.09,1.06,"(0.81,",1.37,0.84
5,Model 2 5,1.00,(reference),0.94,"(0.70,",1.27),1.17,"(0.87,",1.57,0.95,"(0.70,",1.28),1.11,"(0.82,",1.49),0.52
6,Model 3 6,1.00,(reference),0.98,"(0.73,",1.33),1.24,"(0.92,",1.67),1.03,"(0.76,",1.40,1.20,"(0.89,",1.62),0.23
7,median,42.5,,54.4,,,62.7,,,71.8,,,89.1,,,
8,Depressive symptoms (%) 3,18.6,,13.9,,,15.0,,,18.4,,,18.2,,,
9,Model14,1.00,(reference),0.71,"(0.54,",0.93),0.78,"(0.59,",1.02),0.99,"(0.77,",1.28,0.97,"(0.75,",1.26),0.40
10,Model 2 5,1.00,(reference),0.71,"(0.53,",0.96),0.76,"(0.57,",1.03),1.00,"(0.75,",1.33),0.87,"(0.65,",1.16),0.98
11,Model 3 6,1.00,(reference),0.75,"(0.55,",1.01,0.80,"(0.59,",1.08,1.07,"(0.80,",1.44,0.90,"(0.67,",1.20),0.82
12,median,23.8,,32.0,,,38.3,,,45.7,,,59.8,,,
13,Depressive symptoms (%) 3,15.8,,14.3,,,16.3,,,16.7,,,20.9,,,
14,Model14,1.00,(reference),0.88,"(0.67,",1.17,1.04,"(0.79,",1.36),1.07,"(0.82,",1.40,1.41,"(1.09,",1.83),0.002
15,Model 25,1.00,(reference),0.84,"(0.61,",1.14,0.99,"(0.73,",1.34),1.04,"(0.77,",1.40,1.16,"(0.87,",1.56),0.10
16,Model 36,1.00,(reference),0.84,"(0.62,",1.14),0.97,"(0.71,",1.31),0.98,"(0.72,",1.32,1.04,"(0.78,",1.40,0.47
17,"Sucrose (g/day), median 2",24.4,,31.6,,,37.0,,,43.3,,,54.6,,,
18,Depressive symptoms (%) 3,17.4,,13.3,,,15.3,,,18.2,,,19.9,,,
19,Model 14,1.00,(reference),0.73,"(0.55,",0.97),0.86,"(0.65,",1.12,1.06,"0.81,1.37","0.81,1.37",1.18,"(0.91,",1.53),0.02
20,Model 25,1.00,(reference),0.70,"(0.52,",0.95),0.86,"(0.64,",1.16),1.06,"(0.79,",1.42,1.03,"(0.77,",1.38),0.18
21,Model 3 6,1.00,(reference),0.73,"(0.53,",0.99),0.87,"(0.64,",1.17,1.04,"(0.77,",1.39,0.96,"(0.72,",1.29),0.50
22,"Lactose (g/day), median 2",2.1,,4.2,,,6.0,,,8.8,,,13.3,,,
23,Depressive symptoms (%) 3,19.6,,16.6,,,14.2,,,15.8,,,17.8,,,
24,Model14,1.00,(reference),0.82,"(0.63,",1.06,0.68,"(0.52,",0.89),0.77,"(0.59,",1.00,0.89,"(0.69,",1.15,0.59
25,Model 25,1.00,(reference),0.81,"(0.61,",1.08),0.71,"(0.52,",0.95),0.80,"(0.60,",1.08,0.90,"(0.67,",1.19),0.75
26,Model 3 6,1.00,(reference),0.83,"(0.62,",1.11),0.77,"(0.57,",1.05),0.96,"(0.71,",1.31),1.13,"(0.83,",1.53),0.17
27,"Glucose (g/day), median 2",4.9,,6.7,,,8.0,,,9.7,,,13.3,,,
28,Depressive symptoms (%) 3,19.2,,16.9,,,16.5,,,14.9,,,16.6,,,
29,Model14,1.00,(reference),0.85,"(0.66,",1.11),0.83,"(0.64,",1.08),0.74,"(0.56,",0.96),0.84,"(0.64,",1.09),0.17
30,Model 25,1.00,(reference),0.84,"(0.63,",1.12,0.92,"(0.68,",1.23),0.74,"(0.55,",0.99),0.77,"(0.58,",1.03),0.07
31,Model 3 6,1.00,(reference),0.87,"(0.65,",1.16),0.98,"(0.73,",1.32),0.81,"(0.60,",1.09),0.86,"(0.64,",1.15,0.30
32,Total fructose (g/day),17.1,,22.2,,,25.9,,,30.2,,,38.5,,,
33,Depressive symptoms (%) 3,17.8,,15.2,,,15.7,,,18.2,,,17.3,,,
34,Model 14,1.00,(reference),0.83,"(0.63,",1.08),0.86,"(0.66,",1.12,1.03,"0.79,1.33","0.79,1.33",0.96,"(0.74,",1.26),0.68
35,Model 25,1.00,(reference),0.84,"(0.63,",1.14,0.84,"(0.63,",1.13),1.02,"(0.76,",1.37,0.84,"(0.62,",1.12,0.53
36,Model 3 6,1.00,(reference),0.86,"(0.64,",1.17,0.86,"(0.63,",1.15,1.04,(0.78,1.40,0.84,"(0.63,",1.13,0.54
