,0,1,2,3,4
0,,Mean/value,SD,Min,Max
1,Sodium (% DV),,,,
2,Margarine/margarine-like tub and squeeze products,4,1,0,6
3,Margarine/margarine-like stick products,4,2,0,6
4,Butter blend products,3,1,1,4
5,"Butter, salted",4,,,
6,"Butter, unsalted",0,,,
7,"Whipped butter, salted",2,,,
8,"Whipped butter,unsalted",0,,,
9,Vitamin A (RAE) (% DV),,,,
10,Margarine/margarine-like tub and squeeze products,11,5,0,30
11,Margarine/margarine-like stick products,13,2,7,14
12,Butter blend products,10,4,3,14
13,"Butter, salted",11,,,
14,"Butter, unsalted",11,,,
15,"Whipped butter,salted",7,,,
16,"Whipped butter,unsalted",7,,,
17,Vitamin E (total a-tocopherol)(% DV),,,,
18,Margarine/margarine-like tub and sgueeze products,7,5,2,22
19,Margarine/margarine-like stick products,8,3,4,12
20,Butter blend products,5,2,3,8
21,"Butter,salted",2,,,
22,"Butter,unsalted",2,,,
23,"Whipped butter,salted",1,,,
24,"Whipped butter,unsalted",1,,,
