,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Variable,Control,Control,,,1.535% BCAA,1.535% BCAA,,,3.07% BCAA,3.07% BCAA,,,Pooled,P-value,,
1,,do,d3,d15,d 29,do,d 3,d15,d 29,do,d3,d15,d 29,SEM,Treatment,Day,Tx
2,"Sow BW, kg",187,184,173,161,185,182,175,169,187,185,183,181,9.1,0.198,0.01,0.791
3,"Piglet BW,kg",1.40,1.84,4.34,9.54,1.41,1.94,5.05,11.5,1.42,2.03,5.34,12.9,0.10,<0.001,<,<
4,,,,,,,,,,,,,,,,0.01,0.01
5,,d o-,d3-,d 15-,d o-,d o-,d 3-,d 15-,d o-,d o-,d 3,d 15-,d o-,,,,
6,,3,15,29,29,3,15,29,29,3,15,29,29,,,,
7,"ADG of piglets,",147,208,371,281,177,259,460,348,203,276,540,396,6.7,<0.001,<,<
8,g/d,,208,,,,,,,,,,,,,0.01,0.01
9,BW loss of,3.4,11.1,11.7,26.2,3.3,74,6.0,16.7,1.3,2.5,2.2,6.0,0.98,<0.001,,<
10,"sows, kg",,,,,,,,,,,,,,,0.01,0.01
