,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,,,,Starch 3,Starch 3,,,,,,,Total Sugars 3,Total Sugars 3,Total Sugars 3,,
1,,,Q1,,Q3,,,Q5,p4,,Q1,,Q3,,,Q5,p4
2,,(n=792,(n=792,n=793),n=793),n=793),n=792),n=792),p4,(n=792,(n=792,n = 793),n = 793),n = 793),(n = 792),(n = 792),p4
3,"BMI (kg/m2),mean  SD",20.6,2.6,20.9,,2.9,21.0,3.0,0.007,21.2,3.2,20.9,2.6,2.6,20.5,2.7,<0.001
4,"Currently smoking, n (%)",,,,,,,,,,,,,,,,
5,Yes,3,(0.4),,(0.0),(0.0),2,(0.3),-,2,(0.3),1,(0.1),(0.1),3,(0.4),
6,"Alcohol drinking, n (%)",,,,,,,,,,,,,,,,
7,Yes,68,(8.6),44,(5.6),(5.6),43,(5.4),<0.001,46,(5.8),46,(5.8),(5.8),62,(7.8),0.06
8,"Medication use, n (%)",,,,,,,(9.2),,,,,,,,,
9,Yes,105,(13.3),86,(10.8),(10.8),73,(9.2),0.003,84,(10.6),72,(9.1),(9.1),108,(13.6),0.003
10,"Living alone, n (%)",,,,,,,,,,,,,,,,
11,Yes,111,(14.0),193,(24.3),(24.3),244,(30.8),0.001,121,(21.6),208,(26.2),(26.2),166,(21.0),0.26
12,"Self-reported level of stress, n",,,,,,,,,,,,,,,,
13,Very low,,,,,,,,,17,,,,,,,
14,Very low,32,(4.0),24,(3.0),(3.0),15,(1.9),0.01,17,(2.2),18,(2.3),(2.3),39,(4.9),<0.001
15,Low,204,(25.8),174,(21.9),(21.9),198,(25.0),,189,(23.9),188,(23.7),(23.7),225,(28.4),
16,Normal,456,(57.6),481,(60.7),(60.7),471,(59.5),,480,(60.6),463,(58.4),(58.4),437,(55.2),
17,High,62,(7.8),81,(10.2),(10.2),62,(7.8),,70,(8.8),80,(10.1),(10.1),68,(8.6),
18,Very high,38,(4.8),33,(4.2),(4.2),46,(5.8),,36,(4.6),44,(5.6),(5.6),23,(2.9),
19,"Dietary reporting status,",,,,,,,,,,,,,,,,
20,n (%)5,,,,,,,,,,,,,,,,
21,Under-reporting,126,(15.9),140,(17.7),(17.7),147,(18.6),<0.001,50,(6.3),205,(25.9),(25.9),145,(18.3),<0.001
22,Plausible reporting,553,(69.8),632,(79.7),(79.7),571,(72.1),,636,(80.3),568,(71.6),(71.6),558,(70.5),
23,Over-reporting,113,(14.3),21,(2.7),(2.7),74,(9.3),,106,(13.4),20,(2.5),(2.5),89,(11.2),
24,Physical activity (total,,,21,,(2.7),,(9.3),,,,20,,(2.5),,,
25,"metabolic equivalents; h/d),",38.7,6.1,37.6,,5.3,37.6,5.5,<0.001,37.7,5.3,37.4,,5.5,38.5,6.0,<0.001
26,mean  SD,,,,,,,,,,,,,,,,
27,SD,1938,761,1654,,425,1795,632,<0.001,2010,609,1567,418,418,1852,737,<0.001
28,"mean  SD 3,6",39.5,8.2,41.3,,7.8,41.8,7.3,<0.001,41.9,6.6,41.0,,8.1,40.0,8.3,<0.001
