,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,Breakfast (g/d),Breakfast (g/d),,,,,,Lunch (g/d),,,,,,Dinner (g/d),,,
1,,T1 (n 213),T1 (n 213),T2 (n 213),T2 (n 213),T3(n 213),T3(n 213),,T1 (n 213),T1 (n 213),T2 (n 213),T3 (n 213),T3 (n 213),,T1 (n 213),T1 (n 213),T2 (n 213),T3 (n 213),T3 (n 213),
2,,Mean,SE,Mean,SE,Mean,SE,Pior trend,Mean,SE,SE,Mean,SE,Pror trend,Mean,SE,SE,Mean,SE,Pror trend
3,Rice,35.2,4.9,74.1,4.7,20.4,4.9,0.048,128.6,4.7,4.5,125.1,4.7,0.64,142.9,4.9,4.7,1.1,4.9,0.0004
4,Bread,35.2,2.1,29.0,2.0,20.4,2.1,<0.0001,9.8,1.1,1.1,5.0,1.1,0.0048,2.2,0.5,0.5,1.1,0.5,0.11
5,Noodles,6.3,0.7,4.7,0.7,6.7,0.8,0.002,46.5,1.2,3.5,45.0,1.2,0.04,32.8,1.9,25.0,25.6,3.0,0.11
6,Potatoes,3.2,0.7,4.8,0.7,6.7,0.8,0.002,11.1,1.2,1.2,14.8,1.2,0.04,22.7,1.9,1.8,27.2,1.9,0.11
7,Pulsest,9.9,1.8,14.2,1.8,24.2,1.8,<0.0001,11.6,1.4,1.3,17.1,1.4,0.007,28.8,2.4,2.4,38.5,2.5,0.007
8,Total vegetables,27.7,2.6,39.2,2.5,52.2,2.7,<0.0001,72.9,3.6,3.4,93.2,3.6,0.0001,120.5,5.1,4.9,159.7,5.2,<0.0001
9,Fruit,10.0,1.0,22.0,2.4,41.3,2.6,<0.0001,10-1,1.8,1.7,26.2,1.8,<0.0001,7.5,2.0,2.0,30.2,2.1,<0.0001
10,Fish,5.2,1.0,7.4,0.9,11.4,0.8,<0.0001,17.6,1.4,1.3,25.9,1.4,<0.0001,39.3,2.4,2.3,50.2,2.4,0.70
11,Meat,7.0,1.1,14.6,0.8,5.5,1.1,0.19,28.6,1.0,1.5,26.8,1.0,0.32,50.2,0.9,2.3,48.8,2.5,0.60
12,Confectioneries,5.3,0.9,4.8,0.8,83.0,0.9,0.0003,8.1,1.0,2.4,18.4,1.0,0.01,4.4,0.8,2.0,4.0,0.8,0.75
13,Alcoholic beverages,0.2,0.2,0.7,0.2,0.4,0.2,0.44,7.3,3.2,3.0,8.5,3.2,0-31,83.8,14.9,14.3,140.1,15.0,0.01
14,Nonenergetic beverages,200.0,10.7,173.6,10-3,181.9,10.8,0.25,175.9,9.0,8.6,181.2,9.0,0.71,154.5,8.6,8.3,132.4,8.7,0.08
