,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Subgrupo,,Energia,Energia,,,Grasas saturadas,Grasas saturadas,,Azucares agregados,Azucares agregados,Azucares agregados,Azucares agregados,,Sodio,Sodio,
1,,,(Kcal/AdEq/dia),(Kcal/AdEq/dia),,,(g/AdEq/dia),(g/AdEq/dia),,,(g/AdEq/dia),(g/AdEq/dia),,,(mg/AdEq/dia),(mg/AdEq/dia),
2,,1996-,2004-2012-2017-1996-,2004-2012-2017-1996-,2004-2012-2017-1996-,2004-2012-2017-1996-,2004-2012-2017-1996-2004-2012-2017-,2004-2012-2017-1996-2004-2012-2017-,2004-2012-2017-1996-2004-2012-2017-,2004-2012-2017-1996-2004-2012-2017-,,2004-2012-2017-1996-2004-2012-2017-,2004-2012-2017-1996-2004-2012-2017-,1996-,2004-,2012-,2017-
3,,1997,2005,2013,2018,1997,2005,2013,2018,1997,2005,2013,2018,1997,2005,2013,2018
4,Alimentos naturales,,,,,,,,,,,,,,,,
5,o minimamente,,,,,,,,,,,,,,,,
6,procesados,,,,,,,,,,,,,,,,
7,Verduras y frutas,131,105,93,95,"0,1","0,1","0,1","0,1","0,0","0,0","0,0","0,0",53,38,30,27
8,"Legumbres, cereales,",432,360,387,353,"0,3","0,2","0,2","0,2","0,0","0,0","0,0","0,0",20,15,18,17
9,papay pastas,,,,,,,,,,,,,,,,
10,Leche,129,75,74,59,"3,9","2,3","2,2","1,7","0,0","0,0","0,0","0,0",130,78,77,62
11,Carne y huevo,348,299,292,283,"6,9","6,1","5,6","5,4","0,0","0,0","0,0","0,0",161,140,143,136
12,Frutas secas y,,1,1,4,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,0,0
13,semillas,,,,,,,,,,,,,,,,
14,Infusiones,7,5,5,5,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",6,3,3,2
15,Subtotal,1.046,846,852,798,"11,2","8,6","8,1","7,5","0,0","0,0","0,0","0,0",370,274,272,246
16,Ingredientes culinarios,,,,,,,,,,,,,,,,
17,Azucar,187,138,122,104,"0,0","0,0","0,0","0,0","48,2","35,7","31,4","26,7",0,0,0,0
18,Aceites,345,248,262,245,"4,3","3,2","3,2","2,9","0,0","0,0","0,0","0,0",,0,0,0
19,Grasas animales,52,35,36,29,"2,9","2,3","2,4","1,9","0,0","0,0","0,0","0,0",5,5,,4
20,Sal,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",2.423,2.049,1.975,1.749
21,Feculas,,2,1,1,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,0,0
22,Condimentos,,0,,0,,"0,0","0,0","0,0",,"0,0","0,0","0,0",,20,12,16
23,Subtotal,584,423,421,379,"7,2","5,5","5,6","4,9","48,2","35,7","31,4","26,7",2.429,2.073,1.993,1.770
24,Alimentosprocesados,,,,,,,,,,,,,,,,
25,Verduras y frutas en,11,7,9,8,"0,0","0,0","0,0","0,0","0,7","0,2","0,4","0,3",15,22,25,21
26,conserva,,,,,,,,,,,,,,,,
27,"Panes, masas,",439,406,339,265,"0,8","1,1","0,9","0,8","0,0","0,0","0,0","0,0",836,771,640,501
28,"legumbres,pastas",,,,,,,,,,,,,,,,
29,Quesos,68,62,74,70,"3,2","2,9","3,5","3,3","0,0","0,0","0,0","0,0",129,109,125,118
30,Pescado enlatado y,6,24,54,68,"0,0","0,1","0,3","0,3","0,0","0,0","0,0","0,0",10,24,49,60
31,milanesas preparadas,,,,,,,,,,,,,,,,
32,Carnes procesadas,24,28,32,31,"0,7","0,8","0,9","0,9","0,0","0,0","0,0","0,0",84,99,113,109
33,Dulces,28,17,15,14,"0,0","0,0","0,0","0,0","3,0","2,2","1,8","1,8",3,1,1,1
34,Vino y cerveza,59,44,38,35,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",3,3,2,2
35,Subtotal,634,589,561,492,"4,8","5,0","5,6","5,3","3,8","2,5","2,3","2,1",1.081,1.029,955,815
