,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,,%n.J%spi,,,%9spes%91,,,,,,,,,,,,,,,
1,,,100)11,0060,r(1'0) 9'E,,v(6'0) 1'6,qS'I,,qI'I,qI'I,q8'I,,,,qZ'0,,,,,
2,,,pIIV,,%81) OOHS :pIV,,,,%)VIVW%ZZ),,,,S%,ONId(%&t) I8VT,(%Z)VIVW(%91),,(%LZ),OOS (%08) VLVW,(%27,,%LVIVW%+1
3,,,,,,,,,,,,DHO,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,r(9)85,
5,,SeX,,,%09,,,,,,,,,,,,,,,,
6,,Z,116,1112,,,300,,,2007,,,,1174,,,,,,100,
7,Couooy,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,2002,,,,,,,,,,S66I,
9,,,,,,,,,,,,,,,,,,,,[06] IW.TN,
