,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,,,,,Amount consumed,Amount consumed,,,,,,Contribution to total diet (%)I,Contribution to total diet (%)I,Contribution to total diet (%)I,Contribution to total diet (%)I,,
1,,Total diet,Total diet,Breakfastt,Breakfastt,Lunch,,Dinner,,Snackss,Snackss,Breakfast,Breakfast,Lunch,,Dinner,,Snacks,Snacks
2,,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,SD,SD,Mean,SD
3,Energy (kJ/d),8774,2028,1838,774,2737,746,3518,1211,962,840,21.1,8.0,31-6,7-3,40.0,9.4,10.9,8.5
4,Total fat (g/d),74.4,18.3,13-3,7.7,19.3,7.7,27.0,11.8,7.2,4.6,20.7,10.4,30.5,10.9,10.2,12-3,10.9,10.8
5,SFA (g/d),18.7,6-3,4.5,2.9,93.8,26.6,7.0,3.5,32.5,3.3,23.9,12.8,34.1,12-3,13.5,8.9,11.5,15.0
6,Carbohydrate (g/d),278.0,68.5,63.4,27.6,93.8,26.6,97.5,33.2,32.5,25.7,22.8,8-3,34.1,7.5,35.1,8.9,11.5,29.9
7,Alcohol (g/d),32.6,19.1,6.2,7.2,8.1,7.3,7.9,6.9,12.6,12.0,18.5,16-3,26-1,16-7,17.3,17.3,36.8,29.9
8,Alcohol (g/d),11.4,19.9,0.1,2.0,0.5,1.9,,17.3,1.2,1.4,21.8,10.1,31.4,30-3,35.9,35.9,10-3,8.5
9,Na (mg/d),4143,1157,843,511,4.4,541,1794,697,150,188,21.8,10.1,35.3,9.8,11.6,11.6,7.9,4.6
10,Na (mg/d),4143,1157,591,335,744,284,1123,398,150,257,20.2,9.3,28.1,8.8,11.2,11.2,3.7,8.6
11,K (mg/d),533.5,762,161-3,335,744,59.8,1123,398,304,71-1,28.8,14.5,26.3,8.8,10.9,10.9,13.2,8.6
12,Ca (mg/d),533.5,193.3,161-3,114.4,133.8,29.7,186.5,88.5,30.0,28.1,21.9,9.6,27.9,8.5,13.0,13.0,13.2,11.9
13,Mg (mg/d),295.5,88.7,65.3,37.0,80.5,29.7,127.7,53.2,0.8,28.1,21.9,10.5,30.6,8.5,11.4,11.4,10.2,7.6
14,Vitamin D (mg/d),7.9,5.5,1.5,2.4,2.2,2.3,4.1,4.1,11.6,0.4,19.9,12.9,31.2,24.7,25.7,16.2,4.0,12.4
15,Percentage of energy,,,14.0,,14.0,,,,11.6,,,12.9,31.2,,,16.2,9.5,12.4
16,Protein,14-3,2.1,14.0,3.9,14.0,2.8,16.1,3.6,23.3,6.3,,,,-,,,,
17,Total fat,27.8,5.2,26.2,10.4,26.2,7.0,28.9,7.6,23.3,15.6,,,,,,,,
18,SFA,8.1,2.1,9.1,4.8,6.8,2.7,7.5,2.6,10.0,7.7,,,,,,,,
19,Carbohydrate,53.3,6.6,58.3,12.0,57.4,8.3,47.6,10-3,55.5,23.8,,,,,,,,
20,Added sugars,6.2,3.2,6.2,8.3,4.9,3.9,3.8,2.9,21.8,17.8,,,,,,,,
21,Alcohol,3.4,5.7,0.1,0.5,0.4,1.5,6.0,10.0,4.0,12.9,,,,,,,,
