,0,1,2,3,4
0,Studie,Studienpopulation,Intervention,Outcome,Ergebnis
1,EAT (Enquiring,Bisher voll gestillte,6 Monate ausschlieBlich Mutter-,Nahrungsmittelallergie ge,"..Fruheinfuhrer"" 6% Nahrungs"
2,About Toler-,Sauglinge im Alter von,milch vs.Einfuhrung von 6 Allerge,genuber einem oder meh,mittelallergie vs.7% in Kon-
3,ance;[30]),3 Monaten ohne erhoh-,"nen ab dem 3.Monat(Kuhmilch,",reren der fruh eingefuhrten,"trollgruppe (p=0,32)"
4,,tes Risiko,"Erdnuss,gekochtes EiSesamFisch",Nahrungsmittel im Alter von,""".Per-protocolAnalyse:2%vs"
5,,n=1303,und Weizen),1-3 Jahren,"7%p=0,01"
6,LEAP (Learning,"""Risikosauglinge""","6g Erdnussprotein/Woche,auf",Erdnussallergie im Alter,Pravalenz von Erdnussaller
7,Early About,4-11 Monate) mit Huh-,geteilt auf 3oder mehr Tage bis,"von 60 Monaten,Diagnose",gie in Erdnussgruppe 2 % vs.
8,Peanut Allergy;,nereiallergie und/oder,zum Alter von 60 Monaten vs.Erd,durch Nahrungsmittelprovo,14% in Vermeidungsgruppe
9,[9]),atopischem Ekzem,nussvermeidung bis zum Alter von,kation,"(p<0,001)"
10,,n=640,60 Monaten,,
