,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,Placebo,,,,,Diet-fish,,,,,Diet-placebo,Diet-placebo,,,
1,,Baseline,,12 weeks,,P,Baseline,,12 weeks,,p,Baseline,,12weeks,,p
2,,N,%,N,%,,N,%,N,%,,N,%,N,%,
3,MDA,27,100,27,100,0.37,28,100,28,100,0.69,31,100,31,100,0.22
4,Activity,21,77.8,18,66.7,,19,67.9,17,60.7,,24,77.4,20,64.5,
5,Remission,6,22.2,9,33.3,,9,32.1,11,39.3,,7,22.6,11,35.5,
6,OAS28-ESR,28,100,28,100,1.0,26,100,26,100,1.0,27,100,27,100,0.51
7,Moderate/severe activity,16,57.1,16,57.1,,16,61.5,15,57.7,,14,51.9,11,40.7,
8,Remission/low activity,12,42.9,12,42.9,,10,38.5,11,42.3,,13,48.1,16,59.3,
9,DAS28-CRP,19,100,19,100,0.45,19,100,19,100,1.0,20,100,20,100,0.06
10,Moderate/severe activity,8,42.1,5,26.3,,4,21.1,5,26.3,,10,50,5,25,
11,Remission/low activity,11,57.9,14,73.7,,15,78.9,14,73.7,,10,50,15,75,
