,0,1,2,3,4,5,6,7,8
0,Age,EAR,TUL,Risk of inadequate intake (%),Risk of inadequate intake (%),,Risk of excess intake(%,Risk of excess intake(%,
1,,,,Normal diet,Normal,Normal diet+for- Normal diet,Normal diet+for- Normal diet,Normal,Normal diet+for-
2,,,,,diet+fortified tified oil & milk3,diet+fortified tified oil & milk3,,diet+fortified tified oil & milk3,diet+fortified tified oil & milk3
3,,,,,oil2,,,oil2,
4,56 y,240,900,70.5,34.6,6.74,0.76,1.43,3.97
5,7-9 y,290,78 y900,67.6,31.2,5.34,1.34,3.40,8.14
6,,,9y-1700,,,,,,
7,Boys,,,,,,,,
8,10-12 y,360,1700,,37.5,8.65,0.38,0.48,1.58
9,13-15 y,430,13 y-1700,75.6,42.8,12.8,0.13,0.07,0.33
10,,,1415 y2800,,,,,,
11,16-18 y,480,2800,76.8,44.0,12.9,0.16,0.11,0.47
12,19 y,460,3000,81.4,52.9,23.6,0.08,0.03,0.16
13,Girls,,,,,,,,
14,10-12y 370,10-12y 370,1700,77.8,45.7,15.3,0.29,0.3,1.08
15,13-15 y,420,13 y-1700,78.6,47.2,16.4,0.14,0.05,0.22
16,,,14-15 y2800,,,,,,
17,16-18 y,400,2800,80.5,51.0,20.7,0.07,0.03,0.13
18,19 y,390,3000,83.5,56.9,28.1,0.04,0.009,0.05
