,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Wine Samples/,,White Wine Samples,,,Red Wine Samples,,,Rose Wine Samples,,ANOVA,,,Management,
1,Parameters,Org,Conv,Home,Org,Conv,Home,Org,Conv,Home,F-Value,Sig.,Org,Conv,Home
2,ALC,12.73 d,13.01 c,11.35 e,13.51 b,13.62 b,12.46 d,14.48 a,13.03 c,10.33 f,9.257,**,**,**,***
3,TA,5.03 i,5.12 h,5.64 f,6.07 b,5.83 e,5.89 d,5.51 g,6.06 c,6.19 a,9.662,**,ns,ns,ns
4,VA,0.47 e,0.47 e,0.51 c,0.48 d,0.55 b,0.58 a,0.34 f,0.55 b,0.58 a,6.177,*,ns,ns,*
5,RS,4.34 f,5.17 d,17.36 a,4.74 e,2.80 g,14.77 b,<2.00 h,<2.00 h,13.58 c,61.734,**,**,**,**
6,DM,20.15 h,20.46 g,19.64 f,20.94 d,21.24 b,19.83 e,22.00 a,21.00 c,18.33 i,4.839,**,ns,ns,ns
7,pH,3.40 f,3.36 g,3.45 d,3.49 b,3.48 c,3.45 d,3.29 h,3.44 e,3.52 a,3.490,ns,ns,ns,ns
8,TPH,322.64 g,310.44 h,308.09 i,1302.87 c,1394.28 a,1359.50 b,533.97 d,432.55 e,411.59 f,397.603,***,*,*,**
9,ANT,0,0,0,93.31 c,98.90 a,91.22 b,36.97 d,33.23 f,34.22 e,260.877,**,ns,ns,ns
10,ACA,0.28 8,0.26 h,0.32 e,0.35 d,0.38 b,0.38 a,0.23 i,0.36 c,0.29 f,11.530,**,ns,ns,*
11,AMA,0.46 g,0.41 h,0.47 f,1.01 a,1.01 a,0.86 b,0.84 c,0.55 e,0.58 d,17.039,**,ns,ns,ns
12,TAA,2.32 g,2.12 i,2.21 h,3.88 d,3.03 e,2.80 f,4.23 b,4.26 a,4.22 c,4.026,***,*,*,ns
13,LLA,0.27i,0.29 h,0.30 g,1.17a,1.14 b,1.16 c,0.48 f,0.51 e,0.56 d,91.900,***,**,**,***
14,DLA,0.17c,0.14 e,0.15 d,0.22 b,0.22 b,0.23 a,0.14 e,0.14 e,0.15 d,2.440,ns,ns,ns,ns
15,LMA,0,0,1.09 c,0,0,1.85 b,0,0,2.62 a,55.905,***,*,*,***
16,DGA,0.24 b,0.22 c,0.21 d,0.24 b,0.25 a,0.19 e,0.21 d,0.12 8,0.16 f,15.142,**,ns,ns,*
17,PA,64.75 i,67.41 8,66.89 h,87.96 b,96.65 a,81.08 e,87.82 c,83.56 d,79.10 e,18.371,**,ns,ns,ns
18,G,6.05 e,5.99 g,5.70 h,6.06 d,5.60 i,6.00 f,6.40 a,6.22 b,6.14 c,7.751,ns,ns,ns,ns
19,ACDE,42.21 g,41.74 h,51.46 f,62.80 d,60.61 e,73.58 a,40.79 i,64.10 c,72.09 b,82.906,***,**,**,***
20,OD (420 nm),0,0,0,3.33 a,3.09 b,2.63 c,1.36 f,1.54 d,1.48 e,168.582,***,*,*,*
21,OD (520 nm),0,0,0,4.90 a,4.77 b,3.86 c,2.14 f,2.18 e,2.19 d,422.218,***,ns,ns,*
22,OD (620 nm),0,0,0,0.62 d,0.68 c,0.60 e,0.98 a,0.73 b,0.55 e,175.266,***,ns,ns,*
23,CI,0,0,0,8.85 a,8.54 b,7.09 c,4.49 d,4.15 f,4.22 f,550.976,***,ns,ns,**
24,Hue,0,0,,0.68 b,0.66 d,0.68 b,0.64 e,0.70 a,0.67 c,88.282,***,ns,ns,ns
