,0,1,2,3,4,5,6
0,,,Male,,,Female,
1,Nutrients,25-,50-,65-,25-,50-,65-
2,Energy (kcal),2250,2100,2050,1800,1750,1700
3,Protein (g),65,65,65,55,55,55
4,Dietary fibre (g),25,25,25,25,25,25
5,Vitamin A,800,800,800,700,700,700
6,(gRE),,,,,,
7,Vitamin Cmg,100,100,100,100,100,100
8,Vitamin E (mg,14,14,14,14,14,14
9,-TE),,,,,,
10,Ca (mg),800,1000,1000,800,1000,1000
11,Fe (mg),12,12,12,20,12,12
12,Potassium (mg),2000,2000,2000,2000,2000,2000
13,Mg (mg),330,330,320,330,330,320
14,Zn (mg),12.5,12.5,12.5,7.5,7.5,7.5
15,Vitamin B2(g),2.4,2.4,2.4,2.4,2.4,2.4
16,Saturated fat (g),25,23.3,22.8,20,19.4,18.9
17,Na (mg),1500,1400,1400,1500,1400,1400
18,Vitamin Bmg,1.4,1.4,1.4,1.2,1.2,1.2
19,Vitamin B (mg),1.4,1.4,1.4,1.2,1.2,1.2
20,Niacin,15,14,14,12,12,11
21,"(mgNE*,t)",,,,,,
