,0,1,2,3,4,5,6,7
0,PAH,Repeatability,,,,Recovery,,
1,,(n=6,,,,(n =6),,
2,,Concentration,CV,Expected,Tested,CV,Recovery,Recovery
3,,(ng/mL),(%),,,,,
4,,,,concentration,concentration,(%),(%),Range (%)
5,,,,(ng/mL),(ng/mL),,,
6,Nap,0.34  0.03,8.0,1.5,1.33  0.10,7.7,89.0  6.9,77.0 - 98.3
7,AcPy,5.49  0.35,6.3,40,41.78  3.31,7.9,104.5  8.3,91.0-112.7
8,Acp,1.22  0.03,2.2,10,10.15 0.55,5.4,101.5  5.5,95.2-108.3
9,Flu,2.36  0.06,2.3,20,18.39  1.09,5.9,91.9  5.5,83.8 - 98.8
10,PA,23.29  0.79,3.4,200,173.16  16.65,9.6,86.6  8.3,79.1-101.8
11,Ant,5.59  0.33,6.0,100,100.20  4.43,4.4,100.2  4.4,93.6-105.6
12,FL,21.57  1.11,5.1,150,145.72  7.12,4.9,97.1  4.7,88.6-101.9
13,Pyr,15.99  0.46,2.9,100,112.84  3.73,3.3,112.8  3.7,108.3-117.2
14,CHR,1.79  0.06,3.5,15,14.91  0.34,2.3,99.4  2.3,97.7-103.0
15,BaA,3.93  0.18,4.5,30,30.36  0.58,1.9,101.2  1.9,97.7-102.9
16,BbF,2.62  0.14,5.4,20,20.58  0.56,2.7,102.9  2.8,100.2 -108.2
17,BkF,4.63  0.18,3.9,40,37.45  3.06,8.2,93.6  7.7,82.8  101.9
18,BaP,4.39  0.24,5.5,40,39.79  2.71,6.8,99.5  6.8,91.7-105.7
19,DBA,0.99  0.07,7.2,10,8.65  0.49,5.7,86.5  4.9,83.3-96.3
20,IND,2.78  0.23,8.2,20,20.68  0.64,3.1,103.3  3.2,98.5-106.7
21,BghiP,2.93  0.13,4.4,20,20.01  1.26,6.3,100.0  6.3,93.6-108.7
