,0,1,2,3
0,,Time-Restricted,Daily Calorie,Difference
1,,Eating,Restriction,between Groups
2,Variable,(N=69),(N=70),(95% CI)
3,,Change from baseline (95% CI),Change from baseline (95% CI),
4,Body weight-kg,,,
5,6mo,9.4 (10.8 to 7.9),8.9 (10.3 to 7.4),0.5 (2.6 to 1.6)
6,12 mo,8.0 (9.6 to -6.4),6.3 (-7.8 to -4.7),1.8 (-4.0 to 0.4)
7,Body-mass index,,,
8,6mo,3.4 (-3.9 to 2.9),3.2 (3.7 to 2.7),0.2 (1.0 to 0.5)
9,12 mo,2.9 (3.5 to 2.3),2.3 (2.8 to 1.7),0.7 (1.5 to 0.1)
10,Waist circumference-cm,,,
11,6 mo,9.4 (11.0 to 7.9),8.7 (10.2 to 7.3),0.7 (2.8 to 1.4)
12,12mo,8.8 (-10.4 to 7.1),-7.0 (-8.5 to -5.4),1.8 (-4.0 to 0.5)
13,Body fat mass - kg,,,
14,6mo,6.9 (8.0 to -5.7),6.4 (-7.5 to -5.3),0.5 (2.0 to 1.1)
15,12 mo,5.9 (-7.1 to -4.7),-4.5 (-5.6 to -3.3),1.5 (3.1 to 0.2)
16,Body lean mass-kg,,,
17,6mo,1.9 (2.4 to 1.4),1.7 (2.2 to 1.2),0.2 (0.9 to 0.5)
18,12 mo,1.7 (-2.3 to 1.1),1.4 (2.0 to 0.9),0.3 (-1.1 to 0.5)
19,Body fat percent %,,,
20,6mo,-4.7 (-5.6 to -3.8),-4.4 (-5.3 to -3.5),0.3 (-1.6 to 1.0)
21,12mo,4.3 (5.3 to 3.3),3.0 (3.9 to 2.0),1.3 (2.7 to 0.1)
22,Area of abdominal visceral fat -cm2,,,
23,6mo,32.9 (41.1 to -24.8),31.3 (39.2 to -23.4),1.7 (13.0 to 9.7)
24,12 mo,-26.0 (-35.0 to -17.1),-21.1 (-29.5 to -12.8),4.9 (17.3 to 7.5)
25,Area of abdominal subcutaneous fat--cm,,,
26,6mo,70.1 (-85.2 to -55.1),-49.2 (-64.1 to -34.4),20.9 (42.0 to 0.2)
27,12mo,53.2 (-71.9 to -34.6),37.0 (52.1 to 21.9),16.2 (39.2 to 6.8)
