,0,1,2,3,4,5,6,7
0,,Table 6. Calibration curve of anserine and carnosine by HPLC,Table 6. Calibration curve of anserine and carnosine by HPLC,Table 6. Calibration curve of anserine and carnosine by HPLC,,,A8,A8
1,,Compounds,Calibration curve,,R2,,WPILWCP,
2,,Anserine,Y=13.35X-8.1046,Y=13.35X-8.1046,1,,87,87
3,,Carnosine,Y=19.691X-14.798,Y=19.691X-14.798,1,,,
4,,,,,,,1.19 gWPI0.93 gLWCP0.91gISP0.71,1.19 gWPI0.93 gLWCP0.91gISP0.71
5,,,,,,gNPR7,gNPR7,gNPR7
6,,4,4,4,,Table 7.,,
7,,087,087,087,,,,
8,,,,,,,WPILWCPPERNPR,WPILWCPPERNPR
9,,,,,,,WPILWCP,WPILWCP
10,CEOE,CEOE,,,,,,
11,,,,,,94.,,
12,,,,,,,A,A
13,,TinbergenSlump1976,TinbergenSlump1976,TinbergenSlump1976,,,Church1988,Church1988
14,,Nishitani52009,Nishitani52009,Nishitani52009,,,0.07gSP,0.07gSP
15,,45747,45747,45747,,,0.04gWPI0.05gLWCP0.05g,0.04gWPI0.05gLWCP0.05g
16,,,,,,,4A,4A
17,,Cho20077,Cho20077,Cho20077,,,7ISP7,7ISP7
18,,anserinecarno,anserinecarno,anserinecarno,,,99%WPILWCP97%,99%WPILWCP97%
19,,sineHPLC,sineHPLC,sineHPLC,,,Table8.,Table8.
20,,AR14Table6,AR14Table6,AR14Table6,,,%7%77,%7%77
21,Fig.1,Fig.1,,,,,,
22,,CPanserinecarno,CPanserinecarno,CPanserinecarno,,,Schaafsma2000,Schaafsma2000
23,,sine410.24mg4.02mg,sine410.24mg4.02mg,sine410.24mg4.02mg,,,,
24,,LWCP21.06mg/g5.46mg/g2,LWCP21.06mg/g5.46mg/g2,LWCP21.06mg/g5.46mg/g2,,,,
25,,1.47,1.47,1.47,,,PDCAASA,PDCAASA
26,,1CP,1CP,1CP,,,LWCP128.8%ISP112.9,LWCP128.8%ISP112.9
27,,LWCP,LWCP,LWCP,,,%WPI100.4%Table 8.Hughes5,%WPI100.4%Table 8.Hughes5
28,,Aanserinecarno,Aanserinecarno,Aanserinecarno,,,2011PDCAAS,2011PDCAAS
29,,sin,sin,sin,,,1.00100%Han2015,1.00100%Han2015
30,,,,,,,0.95,0.95
31,,,,,,,1.00Rutherfurd5,1.00Rutherfurd5
32,,ELWCP4,ELWCP4,ELWCP4,,,2015PDCAAS,2015PDCAAS
33,,ISPWPpeak,ISPWPpeak,ISPWPpeak,,,1.00,1.00
34,,,,,,.,,
35,,,,,,,LWCP,LWCP
36,,,,,,,7574,7574
37,,"Table 7. Body weight gain, protein intake, PER, and NPR of protein sources","Table 7. Body weight gain, protein intake, PER, and NPR of protein sources","Table 7. Body weight gain, protein intake, PER, and NPR of protein sources",,,,
38,,,,Casein,,ISpl),WPI,LWCP
39,,Body weight gain (g/rat),28.54.1a4),28.54.1a4),,12.32.8b,14.72.9b,18.33.4b
40,,Protein intake (g/rat),,9.30.5a,,6.20.4b,6.00.3b,6.40.5b
41,PER2),PER2),,3.00.4a,,2.00.2b,2.60.3a,2.90.3a
42,NPR3,NPR3,,4.60.6,,4.50.4,4.70.4,4.90.4
43,DISP,,,,,,,
