,0,1,2,3,4,5,6,7,8,9,10
0,,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018c
1,Developing economies(continued),,,,,,,,,,
2,Peru,96.9,100.0,98.2,105.7,104.8,102.8,101.9,99.9,101.3,113.6
3,Philippines,96.5,100.0,100.4,105.6,109.0,108.5,115.1,110.9,105.8,102.2
4,Saudi Arabia,99.0,100.0,97.4,100.3,102.9,105.0,114.9,117.8,114.7,113.3
5,Singapore,96.7,100.0,105.4,110.4,112.5,112.3,110.6,109.7,108.3,107.7
6,South Africa,86.8,100.0,98.1,92.2,82.0,77.1,75.5,70.1,79.6,81.5
7,Taiwan Province of China,99.5,100.0,100.2,100.3,101.0,100.2,102.3,102.0,107.4,106.5
8,Thailand,94.8,100.0,99.1,99.5,104.9,101.9,104.0,100.2,103.5,106.7
9,Turkey,90.8,100.0,88.4,91.6,90.4,85.4,84.0,82.4,73.4,62.9
10,United Arab Emirates,104.7,100.0,93.5,95.2,95.4,96.9,108.4,111.1,110.6,110.6
11,Uruguay,89.3,100.0,102.0,105.2,112.2,110.3,114.4,119.3,127.7,101.3
12,"Venezuela,Bolivarian Republic of",161.2,100.0,117.5,141.9,137.0,208.3,480.9,852.4,1983.0,318.8
