,0,1,2,3,4,5,6,7,8,9,10
0,,,,,,Hazard ratio (95% confidence interval),Hazard ratio (95% confidence interval),,,,
1,,,Model 1,,Model 2,,Model 3,,Model 4,,Model5
2,Age (vs 49-59 years),,,,,,,,,,
3,6069 years,2.43(1.29-4.58) **,2.43(1.29-4.58) **,2.43,1.28-4.61) **,2.06,1.06-4.01)**,2.21,1.14-4.28*,2.28,1.18-4.40*
4,70 years,2.54(1.14-5.63) *,2.54(1.14-5.63) *,2.58,(1.13-5.88*,2.43,1.03-5.57*,2.29,(0.95-5.53,2.54,1.06-6.09
5,Region of residence,0.73,0.41-1.29),0.72,(0.41-1.28),0.64,(0.34-1.18,0.77,(0.43-1.37,0.73,0.41-1.32
6,(Western vs Eastern Japan),,,,,,,,,,
7,Height(per1SD increase),,,0.99,(0.72-1.36),,,,,,
8,Weight(per1SD increase),,,1.11,(0.83-1.50),,,,,,
9,BMI (kg/m2),,,,,,,,,,
10,<20,0.77,0.32-1.89,,,0.73,0.30-1.78,0.67,(0.271.65),0.70,(0.291.73)
11,2022.4,1.29,(0.662.54),,,1.11,(0.552.22),1.20,(0.612.38),1.26,(0.632.50)
12,22.5-24.9,1,(Reference),,,1,(Reference),1,(Reference),1,(Reference)
13,25,1.24(0.59-2.57),1.24(0.59-2.57),,,1.15,(0.54-2.45),1.21,(0.58-2.53),1.23,(0.59-2.58)
14,Current smoking,,,,,1.33,(0.76-2.33),1.43,(0.83-2.48),1.41,(0.81-2.45)
15,Current alcohol intake,,,,,1.11,(0.63-1.98),1.16,(0.66-2.03),1.23,(0.70-2.17
16,Current regular exercise,,,,,1.47,(0.88-2.86),1.59,0.81-3.13,1.56,0.80-3.13)
17,Serum albumin,,,,,0.80,0.56-1.13,,,,
18,Total energy intake,,,,,,,0.79,0.57-1.08),0.84,0.62-1.16
19,Protein intaket,,,,,,,0.82,(0.60-1.12,,
20,Calcium intaket,,,,,,,1.01,(0.74-1.38),,
21,Meats intaket,,,,,,,,,0.89,0.66-1.20
22,Fish and shellfish intaket,,,,,,,,,0.87,(0.65-1.15
23,Vegetable intaket,,,,,,,,,1.18,(0.92-1.53)
24,Milk and dairy products intaket,,,,,,,,,1.09,(0.83-1.44)
25,Fruits intaket,,,,,,,,,0.76,(0.54-1.06)
26,Cerealst,,,,,,,,,1.08,(0.81-1.46)
27,Ricet,,,,,,,,,0.88,0.66-1.18)
28,Soybeant,,,,,,,,,1.15,0.91-1.45
29,Mushroomst,,,,,,,,,1.07,(0.82-1.40)
