,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,,,%8,,,,,,%11,,,,,,,,,,,,,,%6,,,,,-qos pe. (%It).roqnon),%zZ)orq
1,,,,,,01060,,q6'b,,,,,,,1010,,1010,,11010,,,,r(10)20,,,11411,,,qI'ZI,
2,,,,,,,SSC,,,,%,,%9V%,%,,%L,,%L,,%L,,,,,pIIV,,ONI%9Z,%)VIVW%9Z),pIIv,
3,,,,,,OMn,,,BPI,,,,,,,,UMO,BP,,,OMO,BP,,,,,,,,
4,,,DHO,,DHO,DHH,,DHH,,,,DHO,,,,,,,,,TAPR,,,,DHO,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,
6,,SX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,1130,,,,172,,,10,,221,,,,0896,,11717,,,,,,1999,
8,Couooy,,,,Seeden,,,Seeeen,,,,,,,UR,,,,,,UR,,,,,,,,,
9,Treer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
