,0,1,2,3,4
0,,Model1,Model2,Model3,Model4
1,,AOR (95% CI),AOR (95% CI),AOR (95% CI),AOR (95% CI)
2,SOCIO-DEMOGRAPHICFACTORS,,,,
3,Female,"2.9 (2.0, 4.1)","2.3 (1.6, 3.2)","1.8 (1.3, 2.5)","1.7 (1.2, 2.4)"
4,Age group,,,,
5,18-39,ref,ref,ref,ref
6,40-59,"0.9 (0.7, 1.4)","1.1 (0.7, 1.6)","1.0 (0.6, 1.5)","1.0 (0.7, 1.6)"
7,60+,"1.2 (0.8, 1.9)","1.2 (0.7, 1.9)","1.0 (0.6, 1.6)","1.0 (0.6, 1.6)"
8,White race,"0.9 (0.5, 1.5)","0.8 (0.4, 1.5)","0.7 (0.4, 1.4)","0.8 (0.4, 1.6)"
9,Some college or less,"0.5 (0.3, 0.6)","0.6 (0.4, 0.7)","0.5 (0.4, 0.7)","0.7 (0.5, 0.97)"
10,Married,"0.9 (0.7, 1.3)","1.0 (0.7, 1.5)","1.1 (0.8, 1.6)","1.0 (0.7, 1.6)"
11,Residence type,,,,
12,Rural,ref,ref,ref,ref
13,Suburban,"1.6 (1.2, 2.2)","1.5 (1.0, 2.1)","1.6(1.1, 2.2)","1.5 (1.0, 2.2)"
14,Urban,"1.4 (0.8, 2.2)","1.1(0.7,1.8)","1.0 (0.6, 1.6)","1.0(0.6, 1.5)"
15,KNOWLEDGE,,,,
16,Stopping going to school/work protective,,"11.9 (8.8, 16.0)","6.9 (5.0, 9.5)","6.0 (4.3, 8.3)"
17,COVID-19 THREAT PERCEPTION,,,,
18,Perceived risk,,,"1.11.0,1.3","1.11.0, 1.3)"
19,Perceived severity,,,"1.3 (1.2, 1.4)","1.3 (1.2, 1.4)"
20,ECONOMIC PRECARITY INDEX,,,,"1.0 (0.9, 1.1)"
21,ESSENTIALWORKER,,,,"0.3 (0.2, 0.5)"
22,CAN'T AFFORD TO QUARANTINE,,,,"0.7 (0.5, 0.9)"
