,0,1,2,3,4,5,6,7,8,9,10,11
0,,,Quartile of the Japanese Food Guide Spinning Top score,,Quartile of the Japanese Food Guide Spinning Top score,,Quartile of the Japanese Food Guide Spinning Top score,,,10 points increment,10 points increment,p for trenda
1,,Q1 (n=1756),Q1 (n=1756),Q2(n=1756,Q2(n=1756,Q3(n=1755,Q3(n=1755,Q4(n=1755,Q4(n=1755,,,
2,Mean (SD) score,43.2,(5.9),52.3,(1.6),57.5,(1.5),64.1,(3.0),,,
3,Physical frailty,,,,,,,,,,,
4,Case [n (%)],302,(17.2),259,(14.7),241,(13.7),196,(11.2),,,
5,Model 1b,1.00,(Ref),0.81,(0.680.98),0.75,(0.620.90),0.56,(0.450.68),0.79,(0.710.87),<0.001
6,Model 2c,1.00,(Ref),0.87,(0.721.06),0.84,(0.691.03),0.64,(0.520.80),0.85,(0.760.93),<0.001
7,Comprehensive frailty,,,,,,,,,,,
8,Case [n (%)],744,(42.4),658,(37.5),593,(33.8),519,(29.6),,,
9,Model 1b,1.00,(Ref),0.79,(0.680.91),0.66,(0.570.76),0.49,(0.420.57),0.70,(0.640.76),<0.001
10,Model 2c,1.00,(Ref),0.86,(0.731.00),0.77,(0.660.90),0.60,(0.510.71),0.79,(0.720.86),<0.001
