,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,,,00007,0000,100.07,,,,,,,,10007,,1000,,,,,0000,,,,045,1000,1000,10007,,10007
1,890=u,475,,,,112,,214,10,140,118,550,,02,,544,330,3,,,111,4'34,385,110,,,1.12,208,
2,810=,809,,,,2.25,,189,,111,,,,,,,3.55,09,0.2,,119,4.14,,,221,,117,,
3,610=,,,,,118,,,,117,,,,,,343,310,,,,114,,248,1.15,,44,114,,
4,,1000,10007,6800,,,,,,,,,1000,,1000,,,,,10007,,,,,1000,980,,10007,1000
5,890Z=u),,,,1000,114,,,,111,,146,3,,,,,118,,,,442,320,111,112,5.2,,,
6,890=,,,696,,2.26,227,118,,124,,,,02,,,350,,0.2,,114,,,117,,53,188,,
7,(690'tZ=u)T,105,,996,,203,,112,10,1.04,2.10,595,,,,,,,,,110,480,4.30,114,,53,113,,
8,,555,,8'96,,220,220,,,124,,,,3,,576,,,,,111,450,,11T,,52,115,,
9,,,,,,,,5,,,,,,,,Nrrrr,Prrrrprs,,,,MO,,,,,,,,w/x1
10,,,,,,,Y,5,,,,,,,,,,,,,MO,,,,,,,,
