,0,1,2,3
0,,Time-Restricted,Daily Calorie,Difference
1,,Eating,Restriction,between Groups
2,Variable,(N=69),(N=70),(95% CI)
3,,Change from baseline (95% CI),Change from baseline (95% CI),
4,Systolic blood pressure-mm Hg,,,
5,6mo,10.1 (12.4 to 7.8),8.1 (10.3 to -5.9),1.9 (5.1 to 1.2)
6,12 mo,8.1 (-10.4 to -5.7),-7.7 (-10.1 to -5.4),-0.3(-3.7 to 3.1)
7,Diastolic blood pressure-mm Hg,,,
8,6mo,6.0 (-7.8 to 4.2),5.1 (6.8 to 3.3),0.9 (3.4 to 1.6)
9,12mo,5.1 (-7.1 to -3.1),3.8 (5.7 to 2.0),1.3 (4.1 to 1.6)
10,Pulse-beats/min,,,
11,6 mo,3.1 (-5.4 to -0.9),2.4 (4.5 to 0.2),0.8 (3.9 to 2.4)
12,12 mo,1.6 (4.0 to 0.8),1.9 (4.1 to 0.3),0.3 (-2.9 to 3.5)
13,Triglycerides-mg/dl,,,
14,6mo,-44.8(-60.0 to-29.5,-31.7-46.6to-16.8,-13.1-34.6 to 8.4
15,12 mo,25.5 (42.2 to 8.8),19.6 (-35.9 to -3.4),5.9 (28.5 to 16.8)
16,Total cholesterol-mg/dl,,,
17,6 mo,9.0 (15.9 to 2.2),13.7 (20.2 to 7.2),4.7 (4.8 to 14.1)
18,12 mo,7.3 (-14.3 to -0.3),9.3 (15.9 to 2.6),1.9 (-7.9 to 11.7)
19,High-density lipoprotein cholesterol -- mg/dl,,,
20,6mo,4.2 (2.4 to 6.1),2.7 (0.9 to 4.4),1.6 (-1.0 to 4.1)
21,12 mo,4.6 (2.6 to 6.5),2.9 (1.1 to 4.8),1.6 (1.1 to 4.3)
22,Low-density lipoprotein cholesterol-mg/dl,,,
23,6mo,5.9 (12.0 to 0.1),11.3 (17.1 to 5.6),5.4 (-2.9 to 13.7)
24,12mo,8.4 (14.7 to 2.1),-8.9 (-15.1 to -2.8),0.5 (-8.5 to 9.5)
25,Glucose level-mg/dl,,,
26,6 mo,-5.0 (-8.5 to -1.6),4.1 (-7.4 to 0.7),-1.0 (-5.8 to 3.8)
27,12 mo,3.5 (7.6 to 0.5),3.0 (6.7 to 0.7),0.6 (-6.1 to 4.9)
28,2-hour postprandial glucose-mg/dl,,,
29,6 mo,15.4 (-23.7 to -7.1),-10.6 (18.6 to -2.6),4.8 (-16.3 to 6.6)
30,12mo,10.8 (19.7 to 2.0),12.1 (-20.2 to -3.9),1.3 (10.8 to 13.3)
31,HOMA-IR indexvalue,,,
32,6mo,1.4 (1.9 to 0.8),1.2 (1.8 to 0.6),0.2 (1.0 to 0.6)
33,12 mo,1.0 (-1.7 to 0.4),0.5 (1.1 to 0.1),0.5 (1.4 to 0.4)
34,Insulin disposition indexg,,,
35,6mo,4.6 (11.4 to 2.2),3.3 (10.0 to 3.5),1.3 (10.9 to 8.2)
36,12 mo,6.7 (-18.5 to 5.1),0.6 (-8.6 to 9.8),7.3 (20.8 to 6.2)
