,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,(T/ouu),,,1883,,qIL9Z,,N,,,,2034,eSOL,,,11112,,,,
1,ND,(I),607,,,q46,,,,,08,,08,rZ8I,,98,,r611,,rS3Z,2822
2,,,,LIIS,,,,CW-S,,,,,,,,,,,,,
3,,,sopt,sods,24h,sods,spt,sodt,,,,,,,,,,,,,sopt
4,Kpms Jo odKL,,C-S,OON,C-S,,,3,C-S,,,,,,,,,,,,OON
5,Aee,,,,,,,27-00,S9-4Z,,,,,,,,,,,,
6,SeX,,%19,,V,,,,,,,,,,,,,,,T,%89
7,Z,,,,0,,,,=,5,,,2,,,,,,,,594
8,Couory,,,,3,,,,fpapm,,,,,,,,,,,,
9,,,,,,,,,,2005,,2002,2000,,2000,,2005,,2000,,
10,,,,,,[l],,[99] n!T,,,,,,,,,,,,,
